OutputArea,TotalPopOver16,StudentPop
S00148273,57,2
S00148274,117,20
S00148275,68,4
S00148276,94,15
S00148277,76,8
S00148278,73,6
S00148279,111,4
S00148280,82,9
S00148281,86,6
S00148282,74,4
S00148283,131,9
S00148284,96,36
S00148285,70,8
S00148286,87,4
S00148287,83,3
S00148288,80,12
S00148289,65,9
S00148290,87,29
S00148291,86,1
S00148292,88,11
S00148293,59,11
S00148294,113,26
S00148295,150,8
S00148296,77,16
S00148297,73,-
S00148298,64,7
S00148299,63,-
S00148300,85,10
S00148301,68,1
S00148302,134,39
S00148303,120,6
S00148304,116,25
S00148305,81,8
S00148306,124,3
S00148307,94,17
S00148308,123,3
S00148309,74,3
S00148310,85,59
S00148311,114,29
S00148312,157,15
S00148313,119,4
S00148314,60,4
S00148315,68,9
S00148316,174,11
S00148317,66,3
S00148318,100,8
S00148319,72,14
S00148320,70,1
S00148321,70,8
S00148322,114,8
S00148323,76,4
S00148324,168,108
S00148325,94,12
S00148326,98,4
S00148327,79,4
S00148328,54,17
S00148329,93,20
S00148330,68,9
S00148331,84,1
S00148332,79,1
S00148333,70,9
S00148334,75,13
S00148335,72,2
S00148336,61,15
S00148337,56,4
S00148338,104,9
S00148339,110,8
S00148340,60,16
S00148341,94,3
S00148342,57,1
S00148343,103,9
S00148344,78,7
S00148345,63,2
S00148346,119,11
S00148347,55,2
S00148348,63,7
S00148349,78,15
S00148350,113,18
S00148351,73,11
S00148352,98,10
S00148353,76,5
S00148354,94,18
S00148355,79,10
S00148356,91,19
S00148357,121,6
S00148358,92,11
S00148359,97,15
S00148360,63,5
S00148361,64,3
S00148362,104,6
S00148363,72,6
S00148364,81,7
S00148365,72,12
S00148366,61,3
S00148367,111,47
S00148368,164,29
S00148369,78,12
S00148370,79,5
S00148371,123,9
S00148372,94,8
S00148373,95,12
S00148374,88,2
S00148375,60,7
S00148376,48,9
S00148377,67,16
S00148378,92,2
S00148379,111,26
S00148380,80,5
S00148381,105,31
S00148382,117,12
S00148383,95,6
S00148384,102,27
S00148385,83,4
S00148386,85,9
S00148387,79,11
S00148388,56,3
S00148389,72,3
S00148390,59,6
S00148391,93,21
S00148392,62,9
S00148393,76,12
S00148394,104,39
S00148395,95,5
S00148396,115,12
S00148397,53,1
S00148398,69,7
S00148399,110,14
S00148400,68,5
S00148401,132,31
S00148402,71,15
S00148403,107,6
S00148404,154,55
S00148405,69,5
S00148406,109,6
S00148407,57,12
S00148408,94,39
S00148409,97,44
S00148410,237,129
S00148411,92,9
S00148412,88,11
S00148413,122,14
S00148414,63,5
S00148415,103,2
S00148416,113,13
S00148417,64,2
S00148418,215,68
S00148419,60,22
S00148420,197,14
S00148421,129,34
S00148422,133,49
S00148423,65,-
S00148424,85,19
S00148425,81,6
S00148426,66,23
S00148427,50,12
S00148428,117,44
S00148429,59,3
S00148430,113,29
S00148431,67,-
S00148432,89,26
S00148433,108,23
S00148434,82,4
S00148435,103,4
S00148436,93,8
S00148437,106,65
S00148438,74,7
S00148439,53,1
S00148440,59,1
S00148441,94,42
S00148442,78,10
S00148443,61,2
S00148444,81,13
S00148445,79,7
S00148446,61,4
S00148447,108,4
S00148448,90,14
S00148449,101,31
S00148450,66,19
S00148451,117,6
S00148452,82,2
S00148453,105,27
S00148454,55,1
S00148455,55,6
S00148456,81,24
S00148457,115,44
S00148458,230,166
S00148459,88,10
S00148460,110,7
S00148461,82,34
S00148462,119,39
S00148463,108,38
S00148464,79,18
S00148465,132,70
S00148466,65,8
S00148467,566,494
S00148468,84,46
S00148469,65,11
S00148470,124,26
S00148471,122,6
S00148472,105,38
S00148473,92,26
S00148474,118,32
S00148475,86,3
S00148476,76,40
S00148477,131,9
S00148478,139,55
S00148479,160,101
S00148480,308,235
S00148481,137,44
S00148482,95,30
S00148483,83,2
S00148484,71,6
S00148485,72,24
S00148486,67,-
S00148487,128,57
S00148488,82,17
S00148489,1237,1219
S00148490,119,20
S00148491,74,24
S00148492,114,30
S00148493,109,28
S00148494,51,20
S00148495,143,96
S00148496,93,13
S00148497,126,12
S00148498,115,31
S00148499,106,56
S00148500,179,155
S00148501,77,27
S00148502,175,137
S00148503,82,15
S00148504,123,52
S00148505,106,21
S00148506,58,25
S00148507,91,25
S00148508,85,8
S00148509,90,18
S00148510,76,40
S00148511,156,104
S00148512,104,12
S00148513,85,2
S00148514,219,152
S00148515,85,47
S00148516,50,11
S00148517,81,2
S00148518,87,4
S00148519,86,18
S00148520,118,7
S00148521,57,14
S00148522,90,42
S00148523,92,17
S00148524,185,102
S00148525,133,68
S00148526,86,15
S00148527,91,37
S00148528,76,32
S00148529,101,54
S00148530,55,22
S00148531,101,24
S00148532,110,53
S00148533,89,10
S00148534,167,128
S00148535,84,28
S00148536,110,15
S00148537,92,21
S00148538,123,41
S00148539,129,20
S00148540,116,85
S00148541,73,29
S00148542,63,3
S00148543,74,21
S00148544,100,27
S00148545,71,36
S00148546,70,28
S00148547,86,25
S00148548,127,16
S00148549,71,4
S00148550,84,51
S00148551,115,18
S00148552,138,10
S00148553,77,1
S00148554,117,98
S00148555,60,30
S00148556,57,34
S00148557,90,40
S00148558,87,36
S00148559,98,72
S00148560,534,492
S00148561,95,-
S00148562,92,20
S00148563,75,2
S00148564,295,214
S00148565,163,127
S00148566,113,6
S00148567,72,52
S00148568,82,1
S00148569,502,458
S00148570,119,78
S00148571,79,7
S00148572,83,2
S00148573,66,17
S00148574,138,23
S00148575,85,26
S00148576,73,37
S00148577,112,6
S00148578,143,102
S00148579,128,38
S00148580,98,7
S00148581,84,15
S00148582,122,50
S00148583,92,1
S00148584,62,10
S00148585,114,17
S00148586,103,53
S00148587,97,83
S00148588,136,10
S00148589,110,9
S00148590,139,11
S00148591,199,167
S00148592,111,51
S00148593,71,51
S00148594,617,576
S00148595,103,66
S00148596,68,20
S00148597,97,13
S00148598,74,29
S00148599,90,57
S00148600,65,28
S00148601,86,33
S00148602,88,11
S00148603,113,68
S00148604,66,25
S00148605,66,11
S00148606,101,33
S00148607,109,37
S00148608,89,34
S00148609,66,41
S00148610,85,24
S00148611,84,11
S00148612,82,32
S00148613,142,85
S00148614,333,271
S00148615,84,34
S00148616,120,50
S00148617,71,25
S00148618,90,24
S00148619,89,26
S00148620,120,38
S00148621,67,29
S00148622,85,27
S00148623,93,37
S00148624,139,40
S00148625,100,27
S00148626,113,32
S00148627,93,59
S00148628,66,46
S00148629,109,24
S00148630,162,44
S00148631,127,63
S00148632,60,19
S00148633,93,40
S00148634,62,15
S00148635,118,51
S00148636,64,18
S00148637,179,13
S00148638,120,8
S00148639,102,5
S00148640,153,8
S00148641,193,13
S00148642,84,3
S00148643,102,7
S00148644,108,3
S00148645,112,3
S00148646,102,7
S00148647,59,6
S00148648,98,7
S00148649,66,3
S00148650,101,9
S00148651,157,9
S00148652,111,6
S00148653,104,7
S00148654,135,6
S00148655,89,3
S00148656,136,9
S00148657,106,3
S00148658,123,5
S00148659,80,12
S00148660,136,10
S00148661,82,4
S00148662,143,5
S00148663,85,3
S00148664,71,2
S00148665,130,7
S00148666,169,15
S00148667,132,13
S00148668,103,1
S00148669,104,7
S00148670,87,-
S00148671,76,5
S00148672,73,4
S00148673,82,10
S00148674,72,7
S00148675,100,2
S00148676,89,2
S00148677,107,6
S00148678,75,6
S00148679,100,2
S00148680,92,12
S00148681,95,12
S00148682,103,8
S00148683,80,4
S00148684,102,7
S00148685,112,7
S00148686,102,1
S00148687,98,2
S00148688,77,10
S00148689,50,1
S00148690,56,2
S00148691,79,10
S00148692,76,6
S00148693,54,2
S00148694,70,2
S00148695,62,2
S00148696,80,3
S00148697,61,5
S00148698,99,2
S00148699,92,6
S00148700,61,7
S00148701,123,7
S00148702,85,9
S00148703,159,16
S00148704,71,2
S00148705,95,2
S00148706,61,2
S00148707,86,3
S00148708,94,8
S00148709,75,7
S00148710,72,4
S00148711,76,5
S00148712,128,9
S00148713,131,11
S00148714,78,4
S00148715,67,6
S00148716,87,3
S00148717,101,7
S00148718,81,2
S00148719,66,2
S00148720,74,4
S00148721,84,12
S00148722,155,14
S00148723,73,11
S00148724,86,10
S00148725,71,3
S00148726,122,7
S00148727,96,9
S00148728,118,10
S00148729,75,6
S00148730,152,4
S00148731,109,9
S00148732,90,1
S00148733,126,10
S00148734,103,7
S00148735,96,4
S00148736,205,6
S00148737,153,13
S00148738,90,6
S00148739,102,9
S00148740,85,5
S00148741,77,7
S00148742,79,4
S00148743,81,10
S00148744,105,9
S00148745,86,4
S00148746,71,5
S00148747,147,6
S00148748,117,12
S00148749,56,4
S00148750,76,3
S00148751,104,12
S00148752,123,6
S00148753,66,5
S00148754,115,4
S00148755,101,7
S00148756,77,3
S00148757,126,7
S00148758,72,2
S00148759,85,4
S00148760,91,3
S00148761,162,6
S00148762,134,6
S00148763,122,12
S00148764,92,5
S00148765,114,2
S00148766,113,3
S00148767,108,5
S00148768,120,9
S00148769,97,8
S00148770,69,2
S00148771,111,11
S00148772,104,10
S00148773,159,7
S00148774,75,6
S00148775,135,11
S00148776,143,11
S00148777,100,7
S00148778,84,18
S00148779,141,7
S00148780,192,27
S00148781,133,5
S00148782,109,11
S00148783,86,8
S00148784,81,10
S00148785,108,5
S00148786,79,4
S00148787,71,7
S00148788,98,13
S00148789,154,17
S00148790,110,2
S00148791,98,11
S00148792,83,-
S00148793,97,3
S00148794,151,11
S00148795,100,-
S00148796,95,5
S00148797,155,4
S00148798,109,6
S00148799,113,3
S00148800,56,1
S00148801,93,13
S00148802,62,3
S00148803,46,1
S00148804,97,11
S00148805,72,3
S00148806,95,4
S00148807,69,8
S00148808,91,5
S00148809,83,2
S00148810,96,13
S00148811,80,5
S00148812,92,2
S00148813,67,8
S00148814,148,14
S00148815,86,8
S00148816,124,17
S00148817,85,6
S00148818,92,3
S00148819,134,10
S00148820,64,-
S00148821,115,6
S00148822,67,5
S00148823,83,1
S00148824,126,8
S00148825,66,7
S00148826,97,9
S00148827,154,10
S00148828,103,9
S00148829,91,-
S00148830,81,4
S00148831,88,7
S00148832,91,7
S00148833,136,8
S00148834,70,5
S00148835,178,11
S00148836,82,6
S00148837,82,2
S00148838,138,3
S00148839,94,3
S00148840,105,5
S00148841,143,15
S00148842,77,4
S00148843,111,2
S00148844,141,8
S00148845,134,9
S00148846,130,12
S00148847,76,11
S00148848,75,7
S00148849,71,3
S00148850,114,6
S00148851,81,6
S00148852,157,11
S00148853,92,3
S00148854,87,8
S00148855,136,6
S00148856,181,14
S00148857,140,22
S00148858,55,6
S00148859,48,3
S00148860,84,6
S00148861,97,5
S00148862,106,8
S00148863,76,1
S00148864,125,1
S00148865,104,7
S00148866,114,15
S00148867,168,12
S00148868,72,7
S00148869,82,2
S00148870,67,3
S00148871,132,11
S00148872,149,10
S00148873,108,6
S00148874,114,10
S00148875,72,10
S00148876,88,8
S00148877,89,8
S00148878,99,12
S00148879,125,11
S00148880,63,5
S00148881,98,2
S00148882,149,9
S00148883,82,7
S00148884,93,4
S00148885,74,4
S00148886,97,14
S00148887,91,10
S00148888,62,5
S00148889,109,8
S00148890,116,13
S00148891,128,18
S00148892,93,7
S00148893,118,6
S00148894,89,10
S00148895,138,8
S00148896,111,10
S00148897,95,4
S00148898,64,3
S00148899,69,2
S00148900,98,7
S00148901,56,3
S00148902,111,9
S00148903,151,8
S00148904,123,10
S00148905,67,5
S00148906,106,11
S00148907,110,8
S00148908,78,4
S00148909,64,10
S00148910,123,11
S00148911,77,7
S00148912,79,3
S00148913,68,8
S00148914,96,1
S00148915,115,12
S00148916,85,6
S00148917,58,3
S00148918,87,2
S00148919,99,6
S00148920,91,3
S00148921,108,6
S00148922,107,6
S00148923,117,10
S00148924,79,4
S00148925,56,4
S00148926,65,3
S00148927,57,5
S00148928,77,8
S00148929,91,6
S00148930,59,2
S00148931,61,4
S00148932,81,4
S00148933,99,8
S00148934,96,8
S00148935,139,13
S00148936,110,10
S00148937,99,9
S00148938,83,5
S00148939,73,2
S00148940,86,3
S00148941,72,8
S00148942,120,5
S00148943,93,4
S00148944,75,5
S00148945,93,7
S00148946,66,3
S00148947,88,5
S00148948,75,6
S00148949,68,-
S00148950,82,2
S00148951,81,4
S00148952,159,13
S00148953,123,3
S00148954,87,6
S00148955,107,5
S00148956,86,3
S00148957,81,3
S00148958,148,8
S00148959,88,3
S00148960,127,6
S00148961,52,-
S00148962,76,2
S00148963,99,9
S00148964,79,1
S00148965,136,6
S00148966,99,5
S00148967,120,6
S00148968,139,3
S00148969,69,3
S00148970,82,6
S00148971,101,6
S00148972,74,9
S00148973,83,8
S00148974,84,8
S00148975,98,4
S00148976,130,11
S00148977,93,9
S00148978,109,12
S00148979,64,1
S00148980,86,3
S00148981,61,2
S00148982,104,5
S00148983,118,10
S00148984,60,4
S00148985,114,6
S00148986,92,5
S00148987,89,3
S00148988,137,7
S00148989,80,-
S00148990,116,4
S00148991,131,5
S00148992,135,10
S00148993,64,3
S00148994,88,3
S00148995,133,7
S00148996,96,6
S00148997,148,9
S00148998,66,1
S00148999,87,7
S00149000,128,9
S00149001,116,5
S00149002,83,6
S00149003,72,3
S00149004,151,4
S00149005,79,2
S00149006,181,16
S00149007,112,7
S00149008,113,10
S00149009,135,7
S00149010,83,2
S00149011,64,8
S00149012,106,6
S00149013,124,5
S00149014,124,7
S00149015,124,5
S00149016,82,4
S00149017,88,11
S00149018,81,9
S00149019,167,7
S00149020,80,-
S00149021,118,7
S00149022,77,4
S00149023,88,6
S00149024,77,-
S00149025,72,3
S00149026,144,9
S00149027,105,6
S00149028,86,6
S00149029,128,10
S00149030,86,3
S00149031,69,2
S00149032,77,4
S00149033,92,5
S00149034,122,4
S00149035,78,5
S00149036,62,4
S00149037,64,1
S00149038,86,2
S00149039,111,4
S00149040,118,8
S00149041,95,6
S00149042,86,6
S00149043,96,7
S00149044,80,8
S00149045,60,-
S00149046,145,9
S00149047,90,11
S00149048,78,5
S00149049,141,4
S00149050,91,3
S00149051,87,4
S00149052,107,3
S00149053,71,7
S00149054,95,8
S00149055,94,8
S00149056,94,6
S00149057,66,5
S00149058,67,3
S00149059,80,3
S00149060,84,4
S00149061,93,5
S00149062,179,13
S00149063,103,6
S00149064,106,5
S00149065,123,10
S00149066,135,12
S00149067,74,8
S00149068,99,4
S00149069,88,2
S00149070,95,5
S00149071,71,1
S00149072,131,4
S00149073,123,14
S00149074,83,5
S00149075,109,5
S00149076,69,1
S00149077,88,1
S00149078,90,6
S00149079,51,2
S00149080,67,3
S00149081,112,-
S00149082,59,4
S00149083,127,4
S00149084,70,13
S00149085,110,3
S00149086,70,1
S00149087,180,10
S00149088,147,11
S00149089,98,-
S00149090,68,5
S00149091,69,2
S00149092,90,2
S00149093,59,6
S00149094,98,2
S00149095,112,7
S00149096,106,4
S00149097,104,8
S00149098,75,8
S00149099,126,6
S00149100,89,2
S00149101,63,5
S00149102,144,5
S00149103,58,3
S00149104,90,2
S00149105,72,3
S00149106,69,8
S00149107,103,3
S00149108,161,10
S00149109,56,2
S00149110,93,6
S00149111,65,4
S00149112,90,5
S00149113,108,3
S00149114,76,9
S00149115,104,-
S00149116,172,11
S00149117,89,4
S00149118,100,6
S00149119,63,2
S00149120,82,3
S00149121,104,8
S00149122,150,7
S00149123,54,4
S00149124,54,-
S00149125,136,11
S00149126,112,2
S00149127,65,8
S00149128,93,4
S00149129,97,4
S00149130,68,3
S00149131,46,1
S00149132,93,6
S00149133,82,5
S00149134,69,8
S00149135,68,4
S00149136,75,3
S00149137,105,8
S00149138,89,6
S00149139,60,3
S00149140,59,2
S00149141,116,9
S00149142,102,2
S00149143,91,9
S00149144,63,2
S00149145,148,17
S00149146,95,5
S00149147,159,1
S00149148,96,6
S00149149,71,4
S00149150,68,9
S00149151,92,6
S00149152,148,13
S00149153,122,10
S00149154,89,6
S00149155,113,6
S00149156,82,4
S00149157,114,5
S00149158,113,3
S00149159,121,3
S00149160,121,4
S00149161,80,1
S00149162,111,6
S00149163,61,4
S00149164,91,7
S00149165,64,2
S00149166,182,23
S00149167,77,1
S00149168,95,7
S00149169,105,5
S00149170,111,4
S00149171,59,2
S00149172,127,13
S00149173,125,5
S00149174,59,1
S00149175,116,6
S00149176,96,9
S00149177,65,2
S00149178,110,5
S00149179,67,5
S00149180,113,15
S00149181,72,1
S00149182,58,1
S00149183,119,15
S00149184,124,9
S00149185,132,5
S00149186,136,5
S00149187,100,2
S00149188,91,3
S00149189,102,2
S00149190,157,14
S00149191,63,2
S00149192,101,5
S00149193,78,2
S00149194,147,8
S00149195,73,3
S00149196,68,1
S00149197,113,4
S00149198,96,11
S00149199,81,-
S00149200,71,3
S00149201,63,2
S00149202,70,4
S00149203,509,4
S00149204,110,4
S00149205,119,4
S00149206,82,6
S00149207,91,4
S00149208,103,8
S00149209,66,7
S00149210,70,3
S00149211,122,8
S00149212,119,10
S00149213,129,4
S00149214,129,4
S00149215,84,7
S00149216,146,4
S00149217,54,1
S00149218,126,5
S00149219,70,3
S00149220,95,3
S00149221,114,5
S00149222,100,8
S00149223,94,7
S00149224,90,3
S00149225,145,17
S00149226,66,1
S00149227,119,12
S00149228,55,-
S00149229,158,12
S00149230,69,6
S00149231,96,7
S00149232,83,12
S00149233,87,4
S00149234,98,13
S00149235,154,10
S00149236,72,5
S00149237,90,3
S00149238,59,3
S00149239,106,6
S00149240,109,12
S00149241,69,6
S00149242,58,1
S00149243,85,-
S00149244,134,6
S00149245,93,7
S00149246,107,7
S00149247,124,7
S00149248,92,2
S00149249,100,2
S00149250,83,6
S00149251,80,5
S00149252,78,1
S00149253,85,4
S00149254,78,6
S00149255,102,4
S00149256,68,-
S00149257,88,7
S00149258,113,8
S00149259,77,3
S00149260,91,4
S00149261,84,3
S00149262,65,2
S00149263,85,6
S00149264,89,2
S00149265,112,4
S00149266,158,8
S00149267,68,4
S00149268,90,4
S00149269,99,9
S00149270,68,4
S00149271,57,2
S00149272,115,3
S00149273,102,4
S00149274,102,1
S00149275,61,5
S00149276,96,3
S00149277,108,10
S00149278,93,4
S00149279,85,4
S00149280,89,7
S00149281,114,5
S00149282,105,5
S00149283,81,5
S00149284,119,5
S00149285,54,5
S00149286,79,5
S00149287,58,8
S00149288,81,3
S00149289,75,7
S00149290,62,3
S00149291,60,3
S00149292,81,-
S00149293,147,11
S00149294,83,2
S00149295,111,7
S00149296,130,4
S00149297,59,4
S00149298,63,4
S00149299,122,12
S00149300,106,3
S00149301,85,4
S00149302,59,3
S00149303,93,7
S00149304,103,11
S00149305,108,3
S00149306,102,14
S00149307,93,8
S00149308,72,4
S00149309,103,14
S00149310,93,7
S00149311,110,11
S00149312,90,7
S00149313,71,10
S00149314,86,3
S00149315,74,3
S00149316,99,3
S00149317,92,5
S00149318,62,3
S00149319,80,4
S00149320,78,4
S00149321,113,10
S00149322,82,7
S00149323,77,4
S00149324,78,5
S00149325,80,9
S00149326,93,13
S00149327,58,-
S00149328,129,20
S00149329,76,6
S00149330,88,7
S00149331,58,5
S00149332,87,9
S00149333,89,6
S00149334,65,5
S00149335,80,7
S00149336,60,3
S00149337,62,1
S00149338,112,8
S00149339,89,1
S00149340,127,10
S00149341,113,4
S00149342,62,4
S00149343,93,2
S00149344,108,2
S00149345,78,2
S00149346,78,2
S00149347,84,2
S00149348,114,3
S00149349,108,11
S00149350,91,2
S00149351,118,6
S00149352,80,5
S00149353,81,4
S00149354,99,3
S00149355,122,8
S00149356,122,2
S00149357,90,11
S00149358,94,-
S00149359,153,9
S00149360,116,3
S00149361,124,3
S00149362,126,5
S00149363,88,2
S00149364,117,14
S00149365,96,1
S00149366,69,2
S00149367,108,-
S00149368,109,4
S00149369,91,1
S00149370,111,1
S00149371,113,7
S00149372,65,2
S00149373,69,1
S00149374,92,8
S00149375,99,1
S00149376,134,10
S00149377,61,3
S00149378,116,4
S00149379,80,4
S00149380,104,2
S00149381,74,1
S00149382,63,5
S00149383,95,6
S00149384,145,9
S00149385,136,3
S00149386,84,4
S00149387,56,3
S00149388,84,3
S00149389,74,2
S00149390,101,6
S00149391,60,1
S00149392,112,6
S00149393,77,3
S00149394,114,7
S00149395,166,7
S00149396,91,-
S00149397,101,5
S00149398,104,-
S00149399,94,1
S00149400,87,4
S00149401,97,7
S00149402,64,-
S00149403,71,3
S00149404,82,11
S00149405,78,5
S00149406,79,10
S00149407,75,-
S00149408,78,5
S00149409,54,6
S00149410,140,7
S00149411,95,5
S00149412,89,5
S00149413,115,8
S00149414,95,2
S00149415,75,5
S00149416,120,6
S00149417,57,6
S00149418,87,9
S00149419,93,4
S00149420,105,11
S00149421,44,1
S00149422,105,7
S00149423,77,7
S00149424,76,7
S00149425,128,4
S00149426,53,3
S00149427,79,4
S00149428,63,3
S00149429,95,1
S00149430,74,-
S00149431,112,7
S00149432,155,4
S00149433,77,3
S00149434,139,10
S00149435,72,8
S00149436,103,11
S00149437,76,4
S00149438,64,6
S00149439,71,2
S00149440,67,5
S00149441,97,6
S00149442,91,5
S00149443,63,5
S00149444,98,2
S00149445,92,4
S00149446,73,5
S00149447,88,2
S00149448,111,5
S00149449,90,5
S00149450,130,7
S00149451,89,11
S00149452,88,-
S00149453,147,6
S00149454,73,2
S00149455,110,3
S00149456,87,1
S00149457,120,3
S00149458,78,4
S00149459,125,9
S00149460,93,5
S00149461,125,6
S00149462,185,15
S00149463,77,-
S00149464,62,2
S00149465,74,3
S00149466,166,11
S00149467,167,10
S00149468,106,3
S00149469,114,7
S00149470,105,5
S00149471,147,9
S00149472,105,5
S00149473,68,5
S00149474,93,5
S00149475,139,1
S00149476,123,7
S00149477,105,8
S00149478,57,2
S00149479,54,2
S00149480,77,2
S00149481,102,2
S00149482,81,5
S00149483,101,7
S00149484,124,-
S00149485,111,7
S00149486,58,6
S00149487,66,-
S00149488,141,3
S00149489,80,5
S00149490,69,-
S00149491,132,9
S00149492,109,8
S00149493,95,-
S00149494,136,2
S00149495,125,3
S00149496,91,2
S00149497,89,11
S00149498,86,-
S00149499,90,3
S00149500,113,6
S00149501,56,1
S00149502,102,11
S00149503,79,1
S00149504,94,7
S00149505,77,1
S00149506,81,5
S00149507,88,-
S00149508,107,2
S00149509,97,12
S00149510,112,1
S00149511,77,2
S00149512,80,3
S00149513,59,2
S00149514,96,11
S00149515,68,-
S00149516,102,3
S00149517,67,6
S00149518,106,10
S00149519,64,5
S00149520,61,2
S00149521,82,5
S00149522,63,1
S00149523,115,7
S00149524,73,2
S00149525,93,10
S00149526,93,4
S00149527,114,4
S00149528,171,7
S00149529,86,8
S00149530,116,3
S00149531,92,-
S00149532,109,4
S00149533,89,6
S00149534,96,6
S00149535,111,3
S00149536,50,1
S00149537,142,12
S00149538,110,4
S00149539,83,5
S00149540,72,5
S00149541,114,6
S00149542,97,3
S00149543,97,13
S00149544,91,2
S00149545,81,4
S00149546,131,13
S00149547,103,11
S00149548,103,6
S00149549,77,1
S00149550,101,7
S00149551,70,5
S00149552,69,3
S00149553,85,4
S00149554,125,9
S00149555,71,2
S00149556,48,3
S00149557,126,9
S00149558,109,5
S00149559,92,5
S00149560,94,10
S00149561,117,8
S00149562,129,6
S00149563,131,6
S00149564,197,14
S00149565,77,2
S00149566,82,4
S00149567,121,4
S00149568,79,7
S00149569,94,11
S00149570,92,7
S00149571,90,9
S00149572,84,9
S00149573,74,4
S00149574,124,2
S00149575,92,7
S00149576,68,8
S00149577,80,4
S00149578,69,1
S00149579,96,2
S00149580,143,3
S00149581,89,3
S00149582,114,3
S00149583,144,3
S00149584,59,1
S00149585,89,4
S00149586,142,4
S00149587,127,2
S00149588,78,5
S00149589,120,2
S00149590,157,14
S00149591,82,4
S00149592,64,1
S00149593,75,4
S00149594,88,1
S00149595,117,5
S00149596,87,6
S00149597,91,6
S00149598,86,2
S00149599,99,6
S00149600,87,3
S00149601,103,15
S00149602,78,3
S00149603,74,-
S00149604,121,6
S00149605,69,1
S00149606,61,3
S00149607,68,3
S00149608,63,-
S00149609,61,3
S00149610,80,-
S00149611,108,2
S00149612,119,3
S00149613,91,1
S00149614,86,2
S00149615,98,5
S00149616,110,6
S00149617,100,7
S00149618,82,1
S00149619,72,6
S00149620,76,3
S00149621,82,7
S00149622,68,4
S00149623,101,3
S00149624,71,5
S00149625,65,2
S00149626,107,-
S00149627,60,2
S00149628,172,7
S00149629,75,7
S00149630,134,6
S00149631,92,5
S00149632,84,2
S00149633,93,4
S00149634,131,5
S00149635,225,9
S00149636,89,4
S00149637,146,12
S00149638,126,12
S00149639,74,3
S00149640,84,3
S00149641,94,4
S00149642,66,4
S00149643,105,11
S00149644,57,2
S00149645,68,5
S00149646,104,8
S00149647,108,2
S00149648,125,5
S00149649,85,5
S00149650,82,5
S00149651,151,2
S00149652,159,4
S00149653,84,-
S00149654,102,9
S00149655,142,9
S00149656,120,14
S00149657,84,3
S00149658,110,6
S00149659,61,7
S00149660,106,4
S00149661,123,16
S00149662,64,3
S00149663,93,6
S00149664,141,6
S00149665,67,2
S00149666,63,4
S00149667,96,9
S00149668,155,23
S00149669,99,7
S00149670,171,10
S00149671,161,14
S00149672,119,8
S00149673,132,9
S00149674,144,6
S00149675,86,-
S00149676,254,9
S00149677,95,5
S00149678,119,11
S00149679,88,6
S00149680,81,2
S00149681,73,10
S00149682,63,4
S00149683,137,18
S00149684,75,9
S00149685,125,10
S00149686,76,5
S00149687,102,8
S00149688,110,11
S00149689,105,6
S00149690,113,14
S00149691,70,6
S00149692,136,10
S00149693,131,12
S00149694,122,16
S00149695,58,7
S00149696,135,1
S00149697,66,1
S00149698,144,17
S00149699,116,3
S00149700,100,9
S00149701,85,1
S00149702,104,9
S00149703,122,4
S00149704,146,10
S00149705,76,6
S00149706,65,4
S00149707,83,9
S00149708,80,6
S00149709,119,5
S00149710,127,13
S00149711,89,6
S00149712,63,3
S00149713,101,15
S00149714,101,6
S00149715,79,5
S00149716,90,2
S00149717,106,12
S00149718,106,10
S00149719,101,7
S00149720,68,8
S00149721,119,7
S00149722,126,8
S00149723,76,5
S00149724,92,4
S00149725,112,4
S00149726,101,3
S00149727,84,-
S00149728,76,3
S00149729,91,4
S00149730,82,4
S00149731,116,4
S00149732,82,2
S00149733,59,3
S00149734,60,4
S00149735,101,6
S00149736,134,7
S00149737,89,9
S00149738,155,17
S00149739,69,2
S00149740,143,5
S00149741,216,10
S00149742,128,2
S00149743,74,-
S00149744,109,8
S00149745,126,16
S00149746,68,10
S00149747,116,4
S00149748,117,8
S00149749,92,5
S00149750,90,7
S00149751,94,3
S00149752,101,6
S00149753,81,5
S00149754,114,6
S00149755,101,8
S00149756,127,4
S00149757,116,5
S00149758,215,17
S00149759,78,6
S00149760,123,6
S00149761,53,-
S00149762,63,5
S00149763,109,10
S00149764,62,5
S00149765,148,9
S00149766,179,14
S00149767,94,1
S00149768,53,1
S00149769,79,7
S00149770,118,11
S00149771,69,8
S00149772,136,13
S00149773,90,4
S00149774,76,5
S00149775,54,5
S00149776,58,6
S00149777,88,2
S00149778,97,17
S00149779,95,8
S00149780,76,3
S00149781,99,5
S00149782,93,9
S00149783,92,10
S00149784,92,7
S00149785,88,14
S00149786,77,4
S00149787,85,4
S00149788,127,9
S00149789,132,5
S00149790,131,13
S00149791,101,12
S00149792,80,1
S00149793,102,7
S00149794,93,14
S00149795,91,10
S00149796,111,9
S00149797,86,6
S00149798,136,14
S00149799,89,6
S00149800,106,10
S00149801,53,1
S00149802,86,2
S00149803,64,2
S00149804,154,18
S00149805,76,3
S00149806,109,3
S00149807,55,5
S00149808,81,6
S00149809,124,13
S00149810,125,15
S00149811,84,3
S00149812,92,5
S00149813,121,5
S00149814,128,3
S00149815,59,2
S00149816,95,6
S00149817,84,12
S00149818,83,-
S00149819,59,3
S00149820,133,6
S00149821,104,4
S00149822,91,6
S00149823,112,7
S00149824,107,5
S00149825,57,1
