OutputArea,TotalPopOver16,StudentPop
S00135660,91,6
S00135661,54,3
S00135662,100,2
S00135663,89,4
S00135664,135,17
S00135665,98,6
S00135666,68,1
S00135667,122,12
S00135668,107,11
S00135669,113,11
S00135670,127,23
S00135671,73,3
S00135672,94,5
S00135673,67,4
S00135674,83,1
S00135675,109,12
S00135676,72,1
S00135677,58,5
S00135678,88,5
S00135679,72,8
S00135680,88,3
S00135681,98,10
S00135682,69,3
S00135683,82,9
S00135684,70,4
S00135685,108,4
S00135686,103,1
S00135687,101,14
S00135688,113,4
S00135689,74,5
S00135690,106,4
S00135691,98,15
S00135692,61,9
S00135693,83,7
S00135694,76,-
S00135695,73,4
S00135696,59,19
S00135697,101,13
S00135698,118,6
S00135699,126,7
S00135700,43,2
S00135701,80,4
S00135702,103,-
S00135703,59,10
S00135704,62,6
S00135705,75,6
S00135706,92,9
S00135707,53,5
S00135708,101,17
S00135709,80,4
S00135710,52,3
S00135711,75,18
S00135712,100,12
S00135713,66,12
S00135714,105,9
S00135715,92,10
S00135716,107,13
S00135717,95,17
S00135718,59,10
S00135719,119,9
S00135720,169,7
S00135721,128,9
S00135722,56,18
S00135723,61,1
S00135724,67,5
S00135725,89,9
S00135726,114,8
S00135727,99,23
S00135728,91,1
S00135729,96,5
S00135730,84,7
S00135731,66,6
S00135732,92,4
S00135733,65,5
S00135734,180,111
S00135735,84,8
S00135736,78,10
S00135737,64,6
S00135738,131,7
S00135739,79,9
S00135740,77,5
S00135741,59,3
S00135742,81,1
S00135743,66,1
S00135744,78,6
S00135745,98,9
S00135746,51,7
S00135747,75,3
S00135748,101,4
S00135749,62,2
S00135750,87,6
S00135751,106,7
S00135752,65,5
S00135753,88,25
S00135754,83,6
S00135755,112,19
S00135756,80,16
S00135757,93,9
S00135758,97,11
S00135759,48,5
S00135760,56,8
S00135761,77,8
S00135762,96,18
S00135763,74,8
S00135764,77,6
S00135765,119,17
S00135766,91,23
S00135767,98,9
S00135768,140,8
S00135769,97,4
S00135770,93,18
S00135771,100,23
S00135772,151,3
S00135773,118,14
S00135774,61,8
S00135775,129,14
S00135776,84,13
S00135777,139,7
S00135778,60,12
S00135779,100,6
S00135780,76,12
S00135781,98,6
S00135782,86,5
S00135783,135,12
S00135784,64,5
S00135785,55,7
S00135786,114,13
S00135787,51,12
S00135788,93,7
S00135789,80,4
S00135790,91,12
S00135791,143,8
S00135792,70,2
S00135793,76,2
S00135794,117,10
S00135795,78,15
S00135796,88,13
S00135797,194,117
S00135798,72,10
S00135799,141,20
S00135800,88,12
S00135801,65,2
S00135802,68,18
S00135803,83,11
S00135804,92,6
S00135805,66,15
S00135806,90,4
S00135807,85,17
S00135808,99,18
S00135809,81,6
S00135810,94,12
S00135811,125,14
S00135812,92,13
S00135813,89,16
S00135814,57,7
S00135815,66,5
S00135816,91,5
S00135817,94,6
S00135818,91,15
S00135819,89,8
S00135820,126,11
S00135821,68,3
S00135822,88,18
S00135823,122,22
S00135824,142,6
S00135825,75,6
S00135826,69,10
S00135827,50,2
S00135828,111,4
S00135829,81,5
S00135830,60,7
S00135831,96,9
S00135832,148,11
S00135833,97,5
S00135834,86,18
S00135835,130,4
S00135836,84,5
S00135837,106,7
S00135838,155,70
S00135839,225,127
S00135840,128,20
S00135841,59,2
S00135842,75,13
S00135843,72,6
S00135844,55,7
S00135845,66,3
S00135846,102,9
S00135847,214,171
S00135848,89,5
S00135849,68,5
S00135850,69,8
S00135851,91,10
S00135852,63,12
S00135853,78,4
S00135854,65,7
S00135855,96,19
S00135856,60,12
S00135857,50,6
S00135858,55,3
S00135859,69,10
S00135860,86,15
S00135861,90,-
S00135862,72,2
S00135863,73,4
S00135864,73,18
S00135865,89,23
S00135866,73,21
S00135867,89,15
S00135868,102,21
S00135869,62,4
S00135870,74,16
S00135871,137,42
S00135872,86,3
S00135873,98,6
S00135874,101,21
S00135875,98,10
S00135876,85,4
S00135877,124,9
S00135878,131,35
S00135879,72,4
S00135880,173,119
S00135881,99,7
S00135882,85,7
S00135883,61,3
S00135884,59,1
S00135885,80,12
S00135886,76,5
S00135887,65,25
S00135888,86,27
S00135889,60,11
S00135890,74,2
S00135891,67,8
S00135892,98,7
S00135893,95,20
S00135894,100,6
S00135895,126,4
S00135896,134,10
S00135897,129,18
S00135898,98,11
S00135899,72,24
S00135900,115,44
S00135901,92,10
S00135902,72,5
S00135903,89,27
S00135904,64,10
S00135905,69,1
S00135906,51,1
S00135907,99,45
S00135908,90,5
S00135909,54,1
S00135910,67,4
S00135911,87,5
S00135912,110,42
S00135913,104,22
S00135914,93,17
S00135915,128,22
S00135916,82,14
S00135917,118,9
S00135918,91,7
S00135919,73,5
S00135920,100,2
S00135921,98,10
S00135922,103,9
S00135923,200,136
S00135924,82,6
S00135925,60,6
S00135926,86,5
S00135927,113,7
S00135928,70,33
S00135929,62,4
S00135930,113,6
S00135931,97,1
S00135932,64,13
S00135933,120,6
S00135934,114,40
S00135935,89,-
S00135936,94,32
S00135937,105,29
S00135938,90,6
S00135939,67,21
S00135940,82,5
S00135941,113,44
S00135942,115,4
S00135943,88,3
S00135944,144,10
S00135945,74,11
S00135946,130,12
S00135947,112,13
S00135948,121,49
S00135949,128,12
S00135950,60,3
S00135951,129,71
S00135952,57,8
S00135953,110,52
S00135954,115,13
S00135955,117,6
S00135956,99,9
S00135957,101,26
S00135958,65,3
S00135959,114,8
S00135960,124,15
S00135961,133,9
S00135962,87,26
S00135963,146,9
S00135964,97,36
S00135965,90,44
S00135966,75,-
S00135967,87,7
S00135968,124,1
S00135969,70,27
S00135970,86,8
S00135971,111,32
S00135972,90,11
S00135973,97,5
S00135974,89,8
S00135975,76,10
S00135976,112,47
S00135977,63,6
S00135978,110,71
S00135979,78,8
S00135980,80,7
S00135981,128,15
S00135982,81,13
S00135983,107,47
S00135984,100,2
S00135985,101,15
S00135986,107,8
S00135987,74,33
S00135988,67,25
S00135989,88,8
S00135990,52,5
S00135991,71,46
S00135992,86,3
S00135993,90,9
S00135994,125,14
S00135995,63,46
S00135996,135,10
S00135997,105,-
S00135998,86,38
S00135999,93,26
S00136000,113,2
S00136001,75,12
S00136002,82,16
S00136003,69,31
S00136004,63,5
S00136005,100,6
S00136006,58,13
S00136007,141,8
S00136008,62,10
S00136009,96,8
S00136010,110,12
S00136011,108,6
S00136012,97,4
S00136013,84,29
S00136014,100,11
S00136015,105,36
S00136016,116,74
S00136017,138,47
S00136018,127,50
S00136019,870,818
S00136020,112,4
S00136021,59,21
S00136022,99,10
S00136023,55,3
S00136024,73,-
S00136025,88,6
S00136026,133,88
S00136027,69,32
S00136028,56,7
S00136029,68,1
S00136030,127,1
S00136031,101,23
S00136032,102,36
S00136033,121,16
S00136034,105,44
S00136035,125,44
S00136036,97,26
S00136037,70,2
S00136038,67,3
S00136039,77,15
S00136040,67,3
S00136041,120,7
S00136042,93,4
S00136043,75,6
S00136044,60,9
S00136045,116,8
S00136046,73,3
S00136047,107,13
S00136048,86,2
S00136049,123,27
S00136050,116,10
S00136051,97,5
S00136052,60,15
S00136053,76,5
S00136054,112,21
S00136055,102,7
S00136056,81,12
S00136057,103,7
S00136058,249,159
S00136059,76,1
S00136060,90,19
S00136061,393,322
S00136062,69,9
S00136063,97,13
S00136064,116,8
S00136065,91,13
S00136066,56,6
S00136067,56,8
S00136068,105,32
S00136069,106,10
S00136070,70,6
S00136071,140,47
S00136072,71,22
S00136073,90,35
S00136074,73,7
S00136075,94,34
S00136076,113,40
S00136077,81,24
S00136078,165,16
S00136079,62,25
S00136080,124,2
S00136081,74,49
S00136082,62,3
S00136083,91,23
S00136084,85,3
S00136085,77,7
S00136086,85,46
S00136087,87,6
S00136088,81,49
S00136089,143,4
S00136090,90,4
S00136091,104,4
S00136092,144,11
S00136093,97,9
S00136094,67,20
S00136095,53,2
S00136096,131,20
S00136097,135,51
S00136098,83,2
S00136099,117,3
S00136100,174,24
S00136101,93,3
S00136102,99,37
S00136103,81,-
S00136104,102,29
S00136105,120,51
S00136106,72,17
S00136107,113,54
S00136108,127,13
S00136109,88,5
S00136110,76,4
S00136111,110,45
S00136112,111,10
S00136113,77,4
S00136114,142,62
S00136115,119,46
S00136116,67,20
S00136117,98,23
S00136118,59,4
S00136119,71,3
S00136120,77,1
S00136121,111,11
S00136122,115,27
S00136123,132,14
S00136124,68,3
S00136125,85,3
S00136126,86,-
S00136127,115,3
S00136128,67,21
S00136129,88,4
S00136130,66,1
S00136131,81,20
S00136132,73,-
S00136133,93,5
S00136134,72,1
S00136135,75,13
S00136136,63,3
S00136137,80,4
S00136138,83,-
S00136139,81,-
S00136140,106,2
S00136141,67,18
S00136142,106,55
S00136143,63,8
S00136144,133,8
S00136145,274,202
S00136146,102,26
S00136147,60,7
S00136148,82,7
S00136149,69,2
S00136150,96,16
S00136151,65,-
S00136152,68,5
S00136153,75,34
S00136154,105,30
S00136155,103,10
S00136156,91,6
S00136157,54,15
S00136158,115,7
S00136159,77,2
S00136160,73,2
S00136161,83,3
S00136162,114,6
S00136163,62,2
S00136164,70,3
S00136165,52,3
S00136166,65,10
S00136167,83,-
S00136168,97,17
S00136169,51,5
S00136170,72,27
S00136171,59,10
S00136172,81,32
S00136173,61,17
S00136174,126,20
S00136175,60,7
S00136176,108,3
S00136177,86,8
S00136178,99,25
S00136179,96,12
S00136180,127,16
S00136181,58,4
S00136182,94,5
S00136183,93,4
S00136184,104,9
S00136185,91,44
S00136186,100,36
S00136187,78,2
S00136188,53,13
S00136189,87,32
S00136190,80,26
S00136191,97,57
S00136192,129,40
S00136193,115,51
