OutputCode,WorkplacePop
S00157176,36
S00157177,62
S00157178,26
S00157179,32
S00157180,15
S00157181,23
S00157182,42
S00157183,16
S00157184,22
S00157185,16
S00157186,11
S00157187,42
S00157188,20
S00157189,51
S00157190,36
S00157191,50
S00157192,97
S00157193,33
S00157194,22
S00157195,19
S00157196,21
S00157197,29
S00157198,19
S00157199,19
S00157200,19
S00157201,34
S00157202,66
S00157203,10
S00157204,12
S00157205,44
S00157206,18
S00157207,40
S00157208,35
S00157209,9
S00157210,35
S00157211,56
S00157212,45
S00157213,26
S00157214,23
S00157215,24
S00157216,25
S00157217,29
S00157218,21
S00157219,38
S00157220,29
S00157221,25
S00157222,26
S00157223,31
S00157224,21
S00157225,14
S00157226,"1,379"
S00157227,16
S00157228,16
S00157229,33
S00157230,43
S00157231,28
S00157232,41
S00157233,36
S00157234,137
S00157235,49
S00157236,36
S00157237,19
S00157238,93
S00157239,35
S00157240,17
S00157241,22
S00157242,21
S00157243,192
S00157244,38
S00157245,272
S00157246,16
S00157247,52
S00157248,17
S00157249,15
S00157250,35
S00157251,66
S00157252,34
S00157253,5
S00157254,27
S00157255,16
S00157256,23
S00157257,43
S00157258,30
S00157259,33
S00157260,18
S00157261,16
S00157262,40
S00157263,23
S00157264,282
S00157265,21
S00157266,33
S00157267,18
S00157268,16
S00157269,24
S00157270,18
S00157271,19
S00157272,20
S00157273,29
S00157274,24
S00157275,21
S00157276,39
S00157277,34
S00157278,34
S00157279,30
S00157280,40
S00157281,14
S00157282,43
S00157283,22
S00157284,20
S00157285,198
S00157286,17
S00157287,79
S00157288,19
S00157289,25
S00157290,12
S00157291,20
S00157292,23
S00157293,12
S00157294,21
S00157295,37
S00157296,38
S00157297,14
S00157298,35
S00157299,10
S00157300,13
S00157301,20
S00157302,28
S00157303,9
S00157304,11
S00157305,4
S00157306,28
S00157307,51
S00157308,115
S00157309,43
S00157310,7
S00157311,370
S00157312,24
S00157313,27
S00157314,111
S00157315,35
S00157316,29
S00157317,21
S00157318,54
S00157319,20
S00157320,87
S00157321,17
S00157322,19
S00157323,26
S00157324,51
S00157325,30
S00157326,18
S00157327,21
S00157328,34
S00157329,53
S00157330,30
S00157331,18
S00157332,17
S00157333,64
S00157334,15
S00157335,20
S00157336,11
S00157337,33
S00157338,79
S00157339,27
S00157340,25
S00157341,13
S00157342,30
S00157343,34
S00157344,12
S00157345,22
S00157346,46
S00157347,36
S00157348,36
S00157349,37
S00157350,33
S00157351,33
S00157352,39
S00157353,29
S00157354,110
S00157355,34
S00157356,12
S00157357,23
S00157358,14
S00157359,28
S00157360,33
S00157361,17
S00157362,44
S00157363,38
S00157364,23
S00157365,18
S00157366,58
S00157367,158
S00157368,18
S00157369,48
S00157370,30
S00157371,22
S00157372,21
S00157373,39
S00157374,28
S00157375,19
S00157376,17
S00157377,15
S00157378,22
S00157379,20
S00157380,22
S00157381,37
S00157382,10
S00157383,22
S00157384,12
S00157385,32
S00157386,35
S00157387,40
S00157388,22
S00157389,19
S00157390,59
S00157391,23
S00157392,16
S00157393,8
S00157394,12
S00157395,16
S00157396,31
S00157397,75
S00157398,35
S00157399,54
S00157400,13
S00157401,80
S00157402,26
S00157403,14
S00157404,33
S00157405,621
S00157406,29
S00157407,14
S00157408,23
S00157409,24
S00157410,100
S00157411,25
S00157412,22
S00157413,29
S00157414,20
S00157415,35
S00157416,17
S00157417,37
S00157418,19
S00157419,29
S00157420,25
S00157421,18
S00157422,17
S00157423,174
S00157424,59
S00157425,24
S00157426,15
S00157427,27
S00157428,219
S00157429,19
S00157430,41
S00157431,55
S00157432,21
S00157433,44
S00157434,86
S00157435,27
S00157436,25
S00157437,21
S00157438,30
S00157439,43
S00157440,22
S00157441,12
S00157442,22
S00157443,22
S00157444,39
S00157445,17
S00157446,35
S00157447,27
S00157448,23
S00157449,71
S00157450,8
S00157451,31
S00157452,34
S00157453,36
S00157454,201
S00157455,36
S00157456,31
S00157457,10
S00157458,56
S00157459,22
S00157460,16
S00157461,56
S00157462,13
S00157463,21
S00157464,18
S00157465,46
S00157466,22
S00157467,40
S00157468,17
S00157469,15
S00157470,41
S00157471,36
S00157472,37
S00157473,18
S00157474,8
S00157475,30
S00157476,54
S00157477,39
S00157478,29
S00157479,42
S00157480,42
S00157481,20
S00157482,22
S00157483,17
S00157484,43
S00157485,7
S00157486,32
S00157487,17
S00157488,35
S00157489,28
S00157490,18
S00157491,15
S00157492,35
S00157493,19
S00157494,19
S00157495,15
S00157496,28
S00157497,98
S00157498,53
S00157499,37
S00157500,17
S00157501,36
S00157502,18
S00157503,26
S00157504,30
S00157505,33
S00157506,15
S00157507,22
S00157508,16
S00157509,22
S00157510,18
S00157511,320
S00157512,18
S00157513,25
S00157514,21
S00157515,30
S00157516,147
S00157517,13
S00157518,29
S00157519,29
S00157520,476
S00157521,21
S00157522,78
S00157523,13
S00157524,15
S00157525,47
S00157526,45
S00157527,17
