Scotland's Census 2022 - National Records of Scotland
Table UV607 - National Statistics Socio-economic Classification (NS-SeC)
All people aged 16 and over
,"All people aged 16 and over","L1: Employers in large establishments","L2: Higher managerial and administrative occupations","L3: Higher professional occupations","L4: Lower professional and higher technical occupations","L5: Lower managerial and administrative occupations","L6: Higher supervisory occupations","L7: Intermediate occupations","L8: Employers in small establishments","L9: Own account workers","L10: Lower supervisory occupations","L11: Lower technical occupations","L12: Semi-routine occupations","L13: Routine occupations","L14.1: Never worked","L14.2: Long-term unemployed","L15: Full-time students"
"S00135380",113,-,4,17,22,3,8,16,-,6,5,2,14,11,1,-,10
"S00135381",105,-,1,7,15,8,4,22,-,3,5,8,10,13,4,-,9
"S00135382",84,-,5,12,10,7,3,12,-,1,4,4,8,9,1,-,7
"S00135383",110,-,3,20,29,3,3,9,3,7,5,4,5,6,5,-,13
"S00135384",51,-,5,1,6,1,3,11,-,1,1,2,4,8,-,2,5
"S00135385",61,-,4,3,5,1,3,4,2,2,3,5,12,13,2,2,7
"S00135386",109,-,-,6,10,4,3,9,-,7,4,5,20,16,26,1,2
"S00135387",151,-,7,17,33,2,7,18,3,7,5,8,16,9,2,3,10
"S00135388",149,-,6,23,35,7,7,13,2,7,1,2,14,11,4,2,10
"S00135389",116,-,8,13,13,2,6,15,7,5,2,-,16,10,2,3,9
"S00135390",72,-,4,6,10,3,7,13,-,4,3,4,9,6,-,-,5
"S00135391",156,-,2,22,28,6,6,24,-,13,6,13,17,10,2,4,6
"S00135392",59,-,4,5,12,4,1,7,-,1,3,5,15,7,3,-,3
"S00135393",162,-,-,3,14,3,5,13,-,9,6,5,22,38,18,8,15
"S00135394",131,-,5,13,21,4,9,19,5,8,4,9,8,7,4,-,11
"S00135395",64,-,1,10,13,3,-,11,2,8,1,4,2,7,-,-,2
"S00135396",110,-,2,12,22,-,3,17,-,5,2,6,16,18,3,1,1
"S00135397",86,1,3,18,20,4,-,10,4,2,3,3,6,6,3,-,3
"S00135398",105,-,-,11,16,3,5,19,5,4,3,9,12,11,4,-,9
"S00135399",213,-,2,16,31,2,-,14,2,3,2,10,29,4,82,-,5
"S00135400",141,-,9,21,24,9,4,19,2,8,9,5,9,9,1,3,4
"S00135401",88,-,5,6,12,4,4,17,-,6,5,5,8,7,3,-,6
"S00135402",68,-,1,11,14,6,-,13,-,6,3,6,3,5,2,1,1
"S00135403",107,-,3,9,14,4,6,20,-,3,3,2,10,23,-,1,5
"S00135404",71,-,4,8,12,4,1,4,-,5,-,5,8,15,2,1,4
"S00135405",145,-,6,15,26,4,6,20,1,10,2,7,17,12,11,-,9
"S00135406",157,-,8,21,27,10,4,22,1,6,3,4,19,18,6,-,7
"S00135407",120,-,3,14,23,3,9,19,-,6,4,1,14,7,12,-,5
"S00135408",132,-,4,6,18,2,7,16,1,8,3,5,23,24,8,-,4
"S00135409",62,-,3,10,8,-,1,13,-,3,2,1,9,5,4,-,2
"S00135410",99,-,4,10,20,3,1,7,2,4,4,6,15,8,2,2,4
"S00135411",161,-,2,10,24,5,8,30,-,9,5,7,17,21,8,2,16
"S00135412",97,-,1,6,24,7,1,14,-,4,4,5,10,7,6,-,7
"S00135413",126,-,8,18,30,5,4,19,3,3,6,2,4,6,2,-,14
"S00135414",84,-,2,16,13,-,7,14,1,3,4,3,15,2,2,1,4
"S00135415",87,-,1,10,13,5,2,14,2,8,1,3,9,11,2,4,7
"S00135416",162,-,9,14,30,6,6,24,4,8,7,10,20,13,4,3,7
"S00135417",98,-,2,8,16,3,4,22,-,-,4,4,15,12,3,-,-
"S00135418",129,-,8,20,38,5,5,18,-,9,-,5,10,5,1,-,7
"S00135419",69,-,1,6,7,-,-,17,2,6,3,3,7,17,3,2,-
"S00135420",129,-,4,12,14,6,4,14,4,13,6,6,15,23,2,-,7
"S00135421",102,-,2,8,13,3,5,17,-,4,6,5,15,15,2,3,5
"S00135422",92,-,2,7,14,3,3,18,-,6,5,6,10,10,2,1,11
"S00135423",150,-,9,26,30,9,9,25,3,7,7,4,10,6,4,-,10
"S00135424",104,-,4,4,13,6,3,13,4,3,5,7,15,14,12,-,6
"S00135425",102,-,2,7,16,-,5,13,1,2,5,6,11,26,8,-,7
"S00135426",118,-,5,6,17,4,5,22,2,6,3,6,9,7,3,-,16
"S00135427",118,-,3,7,16,-,5,23,3,4,5,-,13,15,12,1,6
"S00135428",55,-,2,3,9,2,2,9,-,5,2,3,4,8,1,-,6
"S00135429",74,-,5,13,11,1,3,12,5,3,-,-,7,6,4,3,5
"S00135430",98,-,3,5,23,3,4,6,4,6,2,7,17,12,-,2,6
"S00135431",86,-,6,6,19,4,2,10,-,6,2,5,11,6,3,-,7
"S00135432",105,-,2,7,27,2,1,11,2,9,5,5,14,8,3,-,4
"S00135433",110,-,1,6,20,4,9,21,1,4,6,7,16,8,1,2,5
"S00135434",103,-,2,4,18,8,6,17,2,8,6,1,15,11,6,-,3
"S00135435",71,2,2,7,17,-,-,10,2,2,3,5,10,5,2,1,2
"S00135436",90,-,4,17,14,6,2,21,-,5,4,3,1,6,4,-,5
"S00135437",102,-,6,13,26,2,1,13,-,6,1,4,13,6,3,-,5
"S00135438",66,-,2,5,8,-,3,6,4,4,3,7,10,11,1,2,-
"S00135439",80,-,6,6,21,2,3,13,-,3,5,1,7,6,3,1,2
"S00135440",113,-,1,8,27,5,4,19,-,11,2,3,14,11,4,2,7
"S00135441",110,-,4,11,18,3,3,21,-,11,-,9,8,10,7,-,7
"S00135442",67,-,-,1,4,4,-,6,2,1,1,-,10,18,11,1,-
"S00135443",84,-,5,8,15,4,-,13,1,3,4,4,11,11,1,-,4
