Scotland's Census 2022 - National Records of Scotland
Table UV607 - National Statistics Socio-economic Classification (NS-SeC)
All people aged 16 and over
,"All people aged 16 and over","L1: Employers in large establishments","L2: Higher managerial and administrative occupations","L3: Higher professional occupations","L4: Lower professional and higher technical occupations","L5: Lower managerial and administrative occupations","L6: Higher supervisory occupations","L7: Intermediate occupations","L8: Employers in small establishments","L9: Own account workers","L10: Lower supervisory occupations","L11: Lower technical occupations","L12: Semi-routine occupations","L13: Routine occupations","L14.1: Never worked","L14.2: Long-term unemployed","L15: Full-time students"
"S00146169",95,-,4,5,21,-,3,8,3,14,1,5,7,14,8,-,3
"S00146170",78,-,-,8,5,3,5,7,5,20,-,4,8,7,4,-,7
"S00146171",80,3,4,3,13,-,2,4,4,14,2,3,13,8,3,-,4
"S00146172",131,-,3,20,25,4,1,13,8,28,3,4,7,11,3,-,2
"S00146173",117,-,5,5,11,6,2,12,10,21,8,3,11,15,3,1,5
"S00146174",70,-,-,6,9,4,-,5,-,8,2,5,14,17,4,1,3
"S00146175",143,-,6,10,26,4,4,13,5,20,8,10,13,19,4,-,5
"S00146176",74,-,3,5,20,3,-,8,3,10,5,2,11,4,3,-,2
"S00146177",132,-,2,15,27,3,4,14,4,30,-,2,11,10,4,-,3
"S00146178",134,-,4,8,23,8,4,14,11,23,1,9,11,11,4,-,5
"S00146179",95,-,2,3,7,4,5,6,2,12,2,1,16,22,5,-,7
"S00146180",134,-,4,18,28,6,6,15,6,10,8,3,11,15,5,1,8
"S00146181",150,1,3,16,26,6,4,7,5,28,3,6,11,15,6,-,5
"S00146182",130,-,4,9,13,5,5,10,3,29,2,5,17,20,3,-,2
"S00146183",97,1,3,5,13,3,5,10,-,21,3,5,8,13,1,-,2
"S00146184",69,-,3,1,11,3,-,4,3,12,2,2,16,8,2,-,1
"S00146185",73,-,4,6,11,4,3,9,2,5,2,2,8,9,6,-,2
"S00146186",156,1,4,18,22,7,4,16,8,47,3,4,16,5,4,-,-
"S00146187",142,-,4,8,20,8,4,6,12,27,6,3,22,8,4,1,9
"S00146188",70,-,2,4,20,4,-,7,2,13,1,2,11,5,1,-,-
"S00146189",81,-,1,8,10,3,4,10,2,15,2,3,5,6,4,-,4
"S00146190",120,-,3,7,29,4,3,11,8,18,4,4,7,7,6,1,5
"S00146191",137,-,6,14,26,10,1,11,6,18,4,4,12,12,4,-,5
"S00146192",57,-,1,6,8,-,2,7,3,7,5,2,6,6,1,-,5
"S00146193",114,-,2,2,4,2,1,9,4,7,-,6,25,33,18,-,6
"S00146194",88,-,-,2,7,3,-,12,-,10,1,3,16,21,4,1,3
"S00146195",76,-,1,2,14,-,2,10,9,3,5,-,14,10,3,1,3
"S00146196",89,1,4,5,12,1,3,12,7,4,5,2,7,19,3,-,4
"S00146197",110,1,5,7,10,2,10,4,14,24,5,3,12,10,-,1,1
"S00146198",152,-,4,8,33,7,6,16,6,23,6,5,16,11,6,4,4
"S00146199",131,-,6,18,23,4,8,12,6,10,2,5,9,12,6,-,4
"S00146200",110,-,3,8,23,4,5,11,5,4,5,-,10,23,2,-,3
"S00146201",112,-,4,14,30,4,-,11,3,11,-,2,10,12,8,-,2
"S00146202",88,-,3,12,14,3,-,11,3,10,1,1,15,5,6,1,1
"S00146203",139,-,5,12,27,4,5,15,9,13,4,4,9,21,4,2,6
"S00146204",104,-,6,5,17,1,3,11,1,8,5,6,12,19,4,5,4
"S00146205",56,-,2,7,12,3,3,9,1,4,2,-,4,9,-,1,3
"S00146206",123,-,2,4,12,3,4,14,1,7,3,6,16,30,8,6,6
"S00146207",57,-,-,3,5,2,2,7,1,6,4,4,6,13,4,-,2
"S00146208",79,-,-,6,14,4,3,13,1,8,4,2,9,13,1,1,1
"S00146209",159,-,8,8,21,5,4,22,5,9,6,7,13,32,9,-,7
"S00146210",59,-,3,7,10,2,2,1,3,13,2,-,9,4,2,-,3
"S00146211",96,-,7,8,18,5,4,14,5,2,4,3,15,11,2,-,-
"S00146212",71,-,-,5,26,5,2,5,-,12,1,4,5,8,1,-,-
"S00146213",74,-,2,1,6,4,2,16,1,7,2,6,13,7,3,1,2
"S00146214",61,-,1,4,4,3,-,10,-,7,3,4,4,15,-,1,-
"S00146215",69,1,-,4,6,4,6,9,1,10,3,2,5,16,4,-,1
"S00146216",95,-,5,6,19,7,1,4,8,14,4,7,11,9,2,-,6
"S00146217",62,-,-,7,11,-,3,7,6,5,3,4,7,9,3,-,1
"S00146218",78,-,5,1,6,5,3,8,4,15,3,4,13,16,4,1,4
"S00146219",123,-,3,3,13,5,3,20,1,9,4,3,21,20,7,3,8
"S00146220",103,-,2,7,10,-,8,11,4,4,3,3,23,13,7,-,3
"S00146221",133,-,4,11,20,4,3,15,7,26,3,5,8,19,3,2,5
"S00146222",77,1,3,7,12,3,4,4,3,15,3,5,13,5,1,2,-
"S00146223",134,-,7,15,27,2,6,14,11,11,6,2,12,13,6,-,6
"S00146224",96,-,2,2,15,4,5,9,11,11,10,4,11,10,3,-,4
"S00146225",62,-,3,5,8,2,-,2,2,10,2,2,6,7,3,1,3
"S00146226",113,-,-,4,19,3,1,9,4,5,6,8,25,21,7,-,1
"S00146227",124,-,3,4,20,6,3,16,8,15,5,4,20,12,4,-,5
"S00146228",143,-,3,9,22,10,3,17,6,10,3,3,18,31,5,1,2
"S00146229",125,-,2,3,24,2,4,9,2,10,6,6,17,25,4,2,8
"S00146230",122,-,5,9,19,3,11,17,9,12,3,3,15,8,6,1,4
"S00146231",127,-,4,9,29,3,5,22,4,9,7,5,21,7,-,-,6
"S00146232",106,-,-,7,10,1,-,12,3,12,2,3,15,24,7,-,5
"S00146233",162,-,6,14,20,6,10,17,12,26,1,10,10,12,5,2,11
"S00146234",114,-,2,9,18,6,6,8,5,25,4,1,10,15,1,-,5
"S00146235",80,-,2,-,9,1,1,17,1,14,3,5,10,12,5,-,1
"S00146236",121,-,3,2,11,5,6,8,4,11,3,10,17,27,7,-,3
"S00146237",78,-,1,4,4,3,2,11,5,6,-,6,15,17,2,-,1
"S00146238",120,-,7,11,18,6,4,15,2,10,1,3,20,12,2,2,5
"S00146239",87,-,2,4,8,3,2,12,2,5,3,1,18,13,5,-,3
"S00146240",72,-,-,4,1,3,2,6,-,4,1,6,12,23,6,1,3
"S00146241",143,-,5,12,20,4,4,18,5,9,4,4,16,29,4,1,8
"S00146242",59,-,-,1,2,2,1,7,-,5,-,2,9,13,8,2,1
"S00146243",69,-,1,4,9,4,7,6,6,4,-,7,7,12,-,-,9
"S00146244",85,-,1,11,20,2,2,2,2,9,5,5,5,6,5,1,5
"S00146245",103,-,-,4,19,2,2,13,1,19,6,3,9,21,4,1,4
"S00146246",54,-,1,-,4,2,3,7,1,6,2,-,8,17,2,1,-
"S00146247",112,-,-,1,6,3,4,8,-,4,7,7,21,32,10,1,7
"S00146248",56,-,-,1,4,2,3,2,4,2,5,2,9,10,6,-,2
"S00146249",115,-,5,8,17,4,4,14,1,10,3,7,16,21,4,1,2
"S00146250",122,-,2,3,6,1,1,7,3,4,10,4,24,30,12,4,6
"S00146251",53,-,2,2,8,3,1,6,-,2,-,3,6,12,2,-,3
"S00146252",149,-,2,9,30,3,7,17,7,14,3,7,16,18,16,3,-
"S00146253",96,-,3,-,2,3,2,8,-,3,2,4,23,36,5,2,5
"S00146254",101,-,1,5,20,3,6,13,-,9,2,5,15,13,5,-,5
"S00146255",63,-,2,-,4,2,-,5,1,1,3,4,13,15,4,-,8
"S00146256",69,-,2,-,5,4,2,6,-,2,4,4,17,18,2,-,4
"S00146257",81,-,3,-,14,5,-,14,5,14,4,1,8,9,2,-,4
"S00146258",120,1,5,8,17,4,7,16,5,9,4,3,10,19,9,-,6
"S00146259",61,-,1,4,7,5,2,8,1,5,-,1,7,10,-,-,3
"S00146260",126,-,2,1,11,6,4,11,1,4,10,7,26,39,5,1,3
"S00146261",87,-,3,1,13,1,3,10,-,5,7,3,12,23,2,-,1
"S00146262",106,-,-,4,10,1,1,13,2,7,7,4,21,24,9,-,5
"S00146263",106,-,2,8,19,-,5,6,-,8,4,11,18,15,3,-,5
"S00146264",152,-,-,6,7,3,3,21,-,9,12,6,26,40,2,-,9
"S00146265",59,-,1,2,2,-,1,5,-,7,2,5,6,15,5,-,4
"S00146266",148,-,2,10,17,7,1,19,5,9,10,1,27,32,7,-,6
"S00146267",150,1,5,11,29,4,8,10,4,10,5,6,17,10,25,1,5
"S00146268",94,-,1,-,10,5,5,10,5,4,5,4,18,26,2,2,1
"S00146269",85,-,-,2,13,3,3,2,1,4,3,3,16,30,4,-,1
"S00146270",88,-,3,3,2,1,3,7,4,6,2,1,21,22,9,-,5
"S00146271",129,-,-,6,12,3,4,20,4,17,7,5,22,14,5,-,4
"S00146272",115,-,-,5,6,3,4,7,-,9,9,6,23,30,8,1,5
"S00146273",133,-,1,3,17,4,7,20,1,12,4,3,7,33,9,-,12
"S00146274",85,-,2,6,9,2,4,7,8,22,1,-,9,6,6,1,2
"S00146275",66,-,3,7,12,2,2,12,4,7,4,1,6,3,1,-,4
"S00146276",111,-,2,6,11,3,-,7,2,8,10,3,23,24,11,1,1
"S00146277",115,-,1,7,9,6,2,9,2,6,7,4,21,20,14,1,7
"S00146278",97,-,1,15,12,-,2,3,6,16,5,6,8,14,7,-,2
"S00146279",121,-,4,11,14,7,3,13,2,9,9,3,16,17,4,-,8
"S00146280",101,-,1,9,25,3,2,11,2,10,1,4,11,13,3,-,5
"S00146281",99,-,2,6,20,4,-,8,-,24,3,4,12,12,4,2,1
"S00146282",91,-,2,4,13,7,2,9,5,8,2,-,15,13,5,-,4
"S00146283",129,-,2,7,13,4,3,21,2,8,7,16,25,20,6,-,4
"S00146284",108,-,2,-,5,4,5,9,-,6,4,3,26,28,8,1,6
"S00146285",111,1,5,6,11,3,-,12,12,12,1,2,14,22,5,2,4
"S00146286",144,-,6,12,14,1,2,12,11,8,7,5,10,13,36,-,3
"S00146287",78,-,2,1,9,3,2,8,-,7,4,1,17,14,1,-,6
"S00146288",55,-,-,3,9,-,1,5,5,4,6,2,9,4,6,-,3
"S00146289",163,-,6,12,23,3,8,18,11,11,4,7,21,25,4,3,2
"S00146290",97,-,4,7,12,3,-,23,1,18,2,6,4,7,2,-,1
"S00146291",68,-,2,4,7,4,3,6,3,14,7,-,9,4,3,-,4
"S00146292",71,-,6,8,15,3,4,9,6,4,1,2,8,4,1,-,2
"S00146293",74,-,4,3,13,1,2,7,3,11,5,-,6,9,6,-,1
"S00146294",72,-,2,6,8,3,2,5,5,12,2,7,5,10,4,-,4
"S00146295",121,-,8,7,14,3,4,15,6,9,6,6,11,9,17,2,4
"S00146296",172,-,6,10,20,9,9,13,8,44,4,1,20,17,3,-,13
"S00146297",98,-,2,4,7,1,3,5,8,24,4,7,14,7,2,-,8
"S00146298",115,-,2,4,16,5,5,19,4,10,7,3,18,16,5,-,6
"S00146299",130,-,4,12,25,3,7,14,4,9,8,2,13,15,2,3,6
"S00146300",60,-,4,3,6,3,1,7,-,4,4,-,17,15,2,1,3
"S00146301",64,-,-,2,4,-,1,10,-,-,5,-,13,18,8,1,-
"S00146302",95,-,-,3,7,3,4,9,-,6,6,4,21,19,14,1,4
"S00146303",81,-,-,1,5,-,4,8,2,5,4,6,17,22,2,1,1
"S00146304",118,-,1,1,5,-,1,19,-,3,5,6,25,25,10,-,16
"S00146305",48,-,-,2,4,-,-,5,-,1,-,3,8,22,4,-,2
"S00146306",111,-,3,12,19,2,5,10,16,9,6,8,13,6,2,-,5
"S00146307",111,-,1,-,12,2,5,14,2,7,7,5,23,23,5,-,-
"S00146308",104,-,2,2,8,-,1,17,-,3,4,6,21,29,10,-,-
"S00146309",92,-,1,1,10,4,5,9,-,7,3,8,15,17,7,1,3
"S00146310",97,-,4,6,12,1,1,14,5,7,4,8,14,21,-,-,2
"S00146311",123,-,-,3,11,-,2,13,-,8,4,4,28,35,4,-,7
"S00146312",78,-,1,2,7,-,2,13,2,4,2,1,11,26,5,-,4
"S00146313",155,-,6,12,21,7,4,16,11,31,6,4,11,17,5,-,-
"S00146314",91,-,1,3,7,1,2,14,2,4,3,5,16,21,6,3,5
"S00146315",70,-,3,4,4,2,4,10,-,3,4,-,8,15,6,-,5
"S00146316",85,-,1,2,13,-,2,6,3,10,2,4,6,8,29,-,2
"S00146317",102,-,2,5,8,4,3,12,1,4,7,3,19,24,8,-,3
"S00146318",63,-,1,1,4,3,2,7,1,2,2,1,13,18,4,-,2
"S00146319",104,-,3,10,12,3,4,12,6,10,4,6,18,11,5,-,1
"S00146320",120,-,-,3,15,7,3,14,4,7,5,4,16,31,5,-,4
"S00146321",73,-,2,4,4,2,-,7,1,3,4,2,11,21,11,-,-
"S00146322",100,-,3,4,17,3,5,18,-,7,5,9,9,17,1,-,-
"S00146323",93,-,-,8,8,3,3,15,1,4,4,3,18,20,4,-,2
"S00146324",86,-,3,4,12,5,2,10,-,9,3,6,12,13,8,-,-
"S00146325",129,-,7,5,25,7,1,16,15,12,1,6,9,15,1,-,4
"S00146326",86,-,4,-,14,4,4,15,4,2,1,8,14,14,3,-,3
"S00146327",85,-,2,5,10,2,6,16,2,6,5,3,10,12,2,-,4
"S00146328",91,-,4,3,12,5,2,17,2,3,1,7,15,15,1,-,4
"S00146329",84,-,2,6,15,4,4,18,6,7,3,2,6,10,3,-,1
"S00146330",90,-,-,3,15,1,-,15,1,6,3,8,8,22,5,-,1
"S00146331",73,-,-,1,12,3,5,10,1,5,4,3,16,6,2,-,2
"S00146332",86,-,1,1,12,1,-,9,4,16,2,3,16,10,2,-,3
"S00146333",132,-,1,11,16,7,6,20,2,5,11,9,18,23,3,1,7
"S00146334",66,-,-,12,14,4,5,13,1,6,1,3,3,3,3,-,1
"S00146335",110,1,4,12,16,5,6,11,3,29,-,4,8,8,-,-,3
"S00146336",105,-,4,4,12,5,7,18,2,7,3,5,12,17,3,-,2
"S00146337",86,-,2,4,19,2,6,12,2,4,3,6,10,12,3,-,2
"S00146338",105,-,2,7,14,5,5,19,1,7,4,2,12,17,7,-,2
"S00146339",99,-,2,3,23,2,2,17,2,4,9,8,10,13,-,-,3
"S00146340",97,-,4,6,18,4,1,13,3,6,2,2,14,13,3,-,4
"S00146341",50,-,-,3,11,1,-,6,4,2,2,3,12,6,-,-,3
"S00146342",144,-,9,15,26,5,5,12,12,21,4,5,8,16,3,1,4
"S00146343",115,-,4,11,13,5,3,22,6,7,2,6,11,15,5,-,5
"S00146344",134,-,8,13,27,1,9,14,4,7,-,5,13,19,4,-,7
"S00146345",91,-,-,2,19,2,5,21,-,3,1,3,10,14,4,-,10
"S00146346",56,-,1,6,7,1,3,5,-,-,-,5,7,13,3,-,1
"S00146347",84,-,-,3,7,3,3,12,6,5,2,2,14,20,3,-,4
"S00146348",121,-,3,6,22,7,1,16,3,10,5,11,20,9,8,-,-
"S00146349",91,-,1,-,16,5,4,11,2,4,6,4,10,19,2,-,8
"S00146350",91,-,2,6,21,1,4,19,1,-,4,3,11,13,5,-,3
"S00146351",69,-,-,2,10,1,1,14,1,2,-,7,15,12,-,-,3
"S00146352",109,-,4,15,19,6,8,12,1,4,1,3,14,16,4,-,3
"S00146353",132,-,3,10,22,3,5,12,9,17,7,6,18,22,3,-,3
"S00146354",126,-,1,7,8,7,4,11,3,19,9,5,25,11,8,2,9
"S00146355",142,-,3,13,34,8,3,29,7,9,5,6,18,6,6,1,5
"S00146356",99,-,-,2,10,3,1,16,3,7,6,5,15,17,5,-,5
"S00146357",78,-,4,7,9,4,2,8,6,15,4,-,9,8,1,-,1
"S00146358",85,-,2,4,13,6,3,10,-,5,6,5,14,11,4,-,-
"S00146359",73,-,-,1,4,1,2,10,3,5,6,4,14,18,1,-,7
"S00146360",105,-,1,8,16,2,5,11,5,21,3,2,6,12,3,-,8
"S00146361",132,-,3,6,22,4,5,13,7,27,4,3,12,17,5,1,-
"S00146362",96,-,3,8,25,3,6,10,4,13,5,3,8,5,2,-,-
"S00146363",83,-,3,9,17,7,3,6,2,15,2,2,4,6,1,2,2
"S00146364",72,-,-,5,18,2,5,8,5,9,1,3,8,7,2,-,3
"S00146365",101,-,3,13,26,1,3,12,5,3,2,2,9,14,4,2,4
"S00146366",135,-,2,7,14,5,7,10,5,28,4,3,15,18,6,2,9
"S00146367",98,-,4,6,6,1,1,6,-,14,8,10,12,22,5,-,3
"S00146368",107,-,2,-,5,2,2,10,-,5,7,6,27,27,8,-,4
"S00146369",106,-,8,10,19,3,3,11,-,9,-,7,6,8,3,-,17
"S00146370",90,-,1,2,8,2,4,16,1,6,4,9,7,16,7,2,1
"S00146371",82,-,2,5,9,-,4,5,3,-,1,2,14,29,8,1,1
"S00146372",84,-,1,5,2,2,2,9,-,4,7,1,21,22,7,-,-
"S00146373",108,-,3,5,10,3,4,9,6,11,7,5,12,18,7,-,6
"S00146374",59,-,-,-,5,-,-,5,2,1,4,5,9,22,5,-,4
"S00146375",139,-,-,3,11,6,2,13,1,9,5,7,23,27,16,1,15
"S00146376",93,1,1,1,10,2,-,4,-,4,9,2,20,22,11,2,3
"S00146377",99,-,1,1,4,1,1,11,-,2,2,2,13,25,24,1,4
"S00146378",53,-,-,2,7,10,2,7,-,2,1,1,11,8,2,-,2
"S00146379",89,-,4,8,16,2,3,8,7,6,3,2,13,10,6,-,3
"S00146380",81,-,2,1,5,7,-,13,-,-,4,4,15,18,12,-,2
"S00146381",72,-,-,-,5,2,3,9,-,5,3,8,22,13,5,-,1
"S00146382",91,-,-,5,6,-,2,9,1,5,4,4,15,24,11,-,9
"S00146383",102,-,1,2,6,-,-,14,1,6,2,4,25,24,9,-,3
"S00146384",72,-,-,4,5,-,1,6,1,1,2,5,16,19,10,-,5
"S00146385",87,-,1,1,7,1,3,7,-,2,3,8,12,32,6,-,5
"S00146386",119,-,-,-,8,4,4,12,-,7,6,5,22,28,11,1,10
"S00146387",149,-,3,11,12,5,5,23,3,16,6,9,16,13,13,1,6
"S00146388",70,-,-,-,3,1,4,4,-,1,8,2,13,13,18,3,3
"S00146389",98,-,1,5,9,4,5,14,-,5,5,4,17,18,1,1,3
"S00146390",89,-,-,3,10,2,5,11,-,4,2,3,16,18,11,2,2
"S00146391",53,-,-,1,3,1,-,2,1,3,-,-,16,11,10,1,2
"S00146392",62,-,-,3,6,1,2,1,-,1,1,1,10,26,11,2,1
"S00146393",83,1,2,9,6,5,3,5,4,10,2,3,14,12,6,1,6
"S00146394",99,-,2,2,4,-,1,4,-,4,4,4,23,30,11,5,3
"S00146395",98,-,1,2,4,1,1,10,-,7,4,2,11,30,18,2,4
"S00146396",94,-,2,5,4,1,2,12,3,5,7,9,17,18,4,-,7
"S00146397",112,1,10,14,24,2,5,14,7,5,5,2,10,4,9,1,5
"S00146398",59,-,4,9,12,3,1,4,1,5,6,6,3,4,-,-,4
"S00146399",111,-,-,2,6,2,1,9,4,4,6,1,21,29,17,-,10
"S00146400",148,-,1,1,14,1,3,16,3,8,9,5,32,25,7,3,18
"S00146401",90,-,5,14,25,4,4,9,-,-,4,2,5,7,2,-,3
"S00146402",88,-,9,11,16,3,4,7,7,10,4,4,6,6,-,3,2
"S00146403",86,-,-,3,6,2,1,9,-,3,2,1,21,27,6,1,3
"S00146404",69,-,1,-,3,1,1,6,6,1,4,2,12,16,11,-,2
"S00146405",141,-,2,-,10,4,1,9,2,4,10,7,31,37,19,-,8
"S00146406",90,-,-,-,7,3,2,11,3,2,4,3,17,27,2,1,6
"S00146407",114,-,-,3,10,-,1,11,2,4,2,5,17,20,37,-,5
"S00146408",94,-,-,2,4,1,6,12,-,7,1,5,20,25,11,2,4
"S00146409",130,-,4,10,19,5,5,11,6,21,1,3,15,16,3,-,6
"S00146410",69,-,4,5,23,1,2,9,-,2,4,5,4,6,2,-,5
"S00146411",106,-,2,-,11,2,-,9,-,4,-,4,27,33,7,-,4
"S00146412",73,-,3,6,9,4,5,16,3,9,3,2,3,7,-,-,2
"S00146413",69,-,4,-,4,5,1,8,2,6,2,4,13,14,5,-,2
"S00146414",58,-,4,3,11,4,-,12,-,2,-,1,5,5,4,-,5
"S00146415",76,-,1,-,5,-,-,8,-,1,2,3,15,25,1,-,3
"S00146416",78,-,2,-,7,4,-,8,-,4,2,8,12,21,5,-,5
"S00146417",97,-,-,2,3,3,3,12,1,3,2,2,25,27,4,1,4
"S00146418",81,2,-,3,6,-,5,8,2,-,5,5,9,23,8,2,4
"S00146419",65,-,4,1,4,1,3,10,-,1,8,5,10,9,4,2,2
"S00146420",55,-,2,-,5,1,1,6,1,3,5,-,7,13,4,-,3
"S00146421",162,-,5,24,35,7,8,26,2,8,2,4,17,15,2,-,11
"S00146422",105,-,1,4,7,4,2,11,2,1,7,2,18,25,11,-,6
"S00146423",64,-,1,4,18,2,2,16,1,4,5,4,2,7,-,-,2
"S00146424",110,-,-,2,6,-,6,16,-,5,7,7,22,22,3,2,8
"S00146425",141,-,11,25,31,3,2,15,8,9,6,5,11,10,-,-,6
"S00146426",82,-,-,2,3,1,1,9,-,1,3,2,17,27,9,2,4
"S00146427",65,-,-,1,1,-,2,6,1,2,2,6,13,19,9,-,4
"S00146428",114,-,2,1,9,-,4,18,-,3,1,2,18,23,17,3,9
"S00146429",142,-,-,1,11,6,4,16,-,6,6,8,31,30,14,1,5
"S00146430",123,-,-,1,9,3,2,18,3,4,5,6,27,23,16,-,2
"S00146431",125,-,-,3,8,-,-,20,1,4,3,6,25,36,16,3,2
"S00146432",85,-,-,5,-,6,-,7,-,4,4,4,11,25,10,3,4
"S00146433",49,-,2,1,7,-,1,3,-,-,3,-,11,12,7,-,-
"S00146434",68,-,1,-,8,2,1,5,-,3,3,5,17,20,6,-,-
"S00146435",124,1,5,16,28,4,5,19,3,4,6,15,7,7,2,1,6
"S00146436",114,-,-,4,4,3,2,12,4,6,2,6,12,27,20,-,6
"S00146437",125,-,2,3,10,6,2,16,-,4,7,4,31,26,2,-,8
"S00146438",64,-,3,4,8,2,1,6,-,2,-,4,11,19,4,-,4
"S00146439",63,-,3,-,3,-,1,2,1,1,3,-,11,22,4,-,3
"S00146440",58,-,2,6,15,2,1,5,3,11,-,-,7,8,2,-,-
"S00146441",159,-,4,28,28,7,8,19,3,9,-,9,19,9,7,-,12
"S00146442",84,-,1,2,15,4,5,9,4,25,2,2,7,4,4,-,1
"S00146443",65,-,-,4,9,-,-,8,-,4,1,-,12,16,8,3,1
"S00146444",67,-,4,1,6,2,-,7,1,2,3,3,17,19,3,-,-
"S00146445",100,-,2,4,8,-,1,4,2,10,2,4,16,20,15,-,8
"S00146446",68,-,-,6,12,3,3,9,8,6,1,-,10,10,-,-,-
"S00146447",126,2,1,11,20,5,1,8,5,21,9,6,13,17,-,-,4
"S00146448",87,-,5,10,24,4,2,11,2,2,-,8,7,11,-,1,6
"S00146449",190,-,6,17,45,10,8,24,3,8,8,11,22,16,10,-,6
"S00146450",119,-,1,5,30,4,9,18,5,9,4,3,14,8,4,-,7
"S00146451",89,-,1,4,6,5,2,9,5,3,1,1,16,22,6,1,10
"S00146452",77,-,1,-,7,1,2,7,1,4,6,3,11,25,7,-,1
"S00146453",139,-,3,8,27,8,12,16,2,11,6,-,19,15,-,-,7
"S00146454",95,-,2,17,24,5,2,13,1,4,4,6,12,5,-,-,3
"S00146455",73,-,-,11,19,2,-,7,7,4,-,2,7,3,-,-,6
"S00146456",61,-,3,5,11,1,-,6,4,3,5,-,4,10,1,-,6
"S00146457",69,-,1,8,19,2,-,5,4,12,-,2,5,8,-,-,2
"S00146458",94,-,4,9,18,1,3,11,3,9,1,1,10,15,8,2,3
"S00146459",77,-,3,6,20,-,4,19,2,3,3,1,5,6,-,2,5
"S00146460",63,-,1,7,16,3,1,10,-,2,2,1,3,9,3,-,4
"S00146461",95,-,7,8,27,5,3,8,2,4,1,5,7,11,-,-,8
"S00146462",75,-,-,7,16,1,4,5,3,5,6,7,1,13,2,-,3
"S00146463",129,-,6,8,32,3,6,18,3,6,2,7,14,13,6,-,2
"S00146464",90,-,4,2,26,4,1,10,3,8,-,3,13,10,1,-,4
"S00146465",112,-,3,9,26,10,1,19,2,3,-,3,15,11,5,-,8
"S00146466",113,-,3,7,25,3,6,15,1,10,2,3,10,14,6,2,4
"S00146467",163,-,7,10,38,10,7,25,5,7,5,6,15,13,1,-,7
"S00146468",122,-,2,7,25,3,3,19,4,4,5,3,14,23,5,4,10
"S00146469",70,-,1,4,3,1,1,5,-,7,1,4,10,17,6,2,6
"S00146470",113,-,8,10,22,3,8,11,3,9,5,8,10,10,1,-,6
"S00146471",113,-,8,9,23,6,5,14,2,7,2,3,10,12,2,-,10
"S00146472",153,-,5,11,27,5,4,12,13,21,4,8,17,18,6,-,2
"S00146473",72,-,1,1,4,1,3,4,1,2,2,4,7,21,13,1,11
"S00146474",121,-,-,3,5,4,-,8,1,1,9,8,29,38,6,4,4
"S00146475",112,-,2,3,5,2,2,4,2,-,6,5,21,39,10,1,11
"S00146476",153,-,6,12,34,5,4,28,1,9,4,5,17,18,1,-,9
"S00146477",71,-,4,1,6,4,8,14,1,2,4,4,7,13,2,-,5
"S00146478",79,-,1,3,12,4,2,11,4,8,1,2,10,14,6,-,4
"S00146479",129,-,-,4,9,3,2,14,4,7,7,1,19,27,10,-,16
"S00146480",63,-,1,9,14,3,2,6,1,3,4,3,3,7,1,-,3
"S00146481",85,-,3,7,14,2,6,17,4,3,2,4,12,4,5,-,3
"S00146482",75,-,1,3,3,1,-,8,1,4,2,3,12,22,11,-,-
"S00146483",77,-,2,4,3,-,2,10,-,2,5,2,22,12,12,2,4
"S00146484",203,2,3,16,24,3,9,26,11,11,4,8,13,12,66,-,2
"S00146485",93,-,3,3,15,4,9,12,1,7,1,5,9,13,1,-,5
"S00146486",95,-,1,6,16,2,4,8,-,9,6,3,19,10,6,2,7
"S00146487",127,-,4,5,24,8,6,11,2,5,7,2,20,16,6,-,9
"S00146488",89,-,2,8,17,3,4,16,2,5,4,5,10,11,4,1,4
"S00146489",103,-,7,6,19,3,5,15,1,5,7,7,9,7,3,-,9
"S00146490",71,-,1,16,13,1,2,6,-,10,-,-,7,7,5,-,4
"S00146491",102,-,3,14,20,1,2,12,3,7,1,6,13,11,6,-,2
"S00146492",106,-,6,8,24,5,3,14,-,9,2,5,8,16,1,-,4
"S00146493",68,-,1,4,12,4,2,16,4,7,6,4,5,9,-,-,3
"S00146494",69,-,-,3,4,-,2,6,2,8,2,2,13,19,3,-,2
"S00146495",115,-,2,6,9,4,5,15,-,9,3,4,15,28,11,2,6
"S00146496",57,-,-,2,10,1,-,3,-,4,1,2,15,14,3,-,1
"S00146497",61,-,1,5,9,3,7,7,3,4,1,1,6,7,3,-,1
"S00146498",129,-,3,5,16,5,1,18,2,8,5,6,30,22,7,-,4
"S00146499",99,-,4,5,8,4,1,15,7,12,4,1,12,13,6,-,11
"S00146500",135,-,2,12,15,5,11,23,3,8,2,2,21,18,5,-,7
"S00146501",119,-,1,3,19,4,5,14,-,8,5,4,16,22,6,1,10
"S00146502",160,-,4,5,24,3,4,22,14,9,10,13,16,20,5,-,7
"S00146503",118,-,4,9,36,1,7,12,4,6,4,7,8,13,7,-,-
"S00146504",153,-,4,10,26,6,8,32,9,7,6,4,7,17,6,-,8
"S00146505",101,-,8,6,13,2,5,16,3,3,-,6,18,9,4,-,7
"S00146506",98,-,3,2,10,3,2,15,-,4,1,4,18,24,16,-,2
"S00146507",91,-,2,3,16,-,1,11,1,3,1,2,9,24,9,1,8
"S00146508",150,-,1,12,34,4,4,23,1,11,6,4,16,14,5,4,11
"S00146509",69,-,2,3,18,3,3,12,2,4,-,4,6,7,1,1,1
"S00146510",104,-,3,9,17,6,4,12,6,12,3,2,18,9,5,-,3
"S00146511",47,-,-,-,2,-,1,5,-,1,2,1,8,9,14,3,2
