OutputArea,All people aged 16 and over in employment the week before the census (including full-time students if they gave a work address as the address they primarily travel to for work or study),Mainly work from home,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Other - No fixed place of work or working outside the UK
S00135420,66,17,6,10,19,5,1,1,-,-,7
S00135421,68,21,3,7,19,4,1,-,1,-,8
S00135422,64,17,-,12,26,2,1,-,-,-,6
S00135423,91,27,9,12,29,-,1,-,4,1,9
S00135424,52,9,8,7,14,2,-,-,-,-,9
S00135425,55,18,4,8,17,1,1,-,-,-,5
S00135426,69,17,1,16,22,3,1,-,1,-,8
S00135427,34,9,1,4,14,1,-,-,-,-,3
S00135428,33,-,-,6,13,6,-,-,-,-,6
S00135429,27,6,-,3,9,-,-,-,1,-,6
S00135430,57,5,4,13,18,2,-,-,-,1,9
S00135431,50,15,4,2,11,5,-,-,-,-,8
S00135432,43,17,-,9,10,-,1,-,-,-,7
S00135433,55,16,4,6,17,5,1,-,-,-,6
S00135434,36,8,6,3,7,3,1,-,-,-,4
S00135435,30,10,-,10,7,-,-,-,2,-,-
S00135436,47,19,4,6,10,1,2,-,-,-,6
S00135437,70,27,4,12,21,3,-,-,-,-,4
S00135438,43,16,1,5,11,6,1,-,-,-,10
S00135439,38,9,3,11,10,4,-,1,-,-,4
S00135440,49,16,-,10,7,2,1,2,-,-,10
S00135441,65,17,2,13,14,4,1,-,-,-,10
S00135442,5,-,-,3,2,-,-,-,-,-,-
S00135443,58,15,2,6,18,9,-,-,-,-,6
S00135444,62,16,-,17,18,1,1,1,-,1,6
S00135445,66,18,1,13,16,1,3,-,-,-,9
S00135446,50,14,7,8,5,2,-,-,2,-,14
S00135447,79,23,5,6,20,7,2,-,-,1,17
S00135448,97,26,3,25,23,6,3,-,-,-,11
S00135449,17,5,1,5,4,-,-,-,-,-,1
S00135450,24,6,-,5,8,2,-,-,-,-,2
S00135451,28,8,1,4,8,4,-,-,-,-,3
S00135452,30,8,5,2,10,2,-,-,-,-,4
S00135453,68,19,6,16,21,4,-,-,-,-,5
S00135454,80,30,1,11,23,1,-,-,-,1,9
S00135455,57,19,6,9,13,1,-,-,1,-,9
S00135456,48,8,5,11,13,1,-,-,2,-,9
S00135457,28,2,6,6,11,1,-,-,-,-,4
S00135458,53,13,6,13,14,3,-,-,-,-,5
S00135459,54,10,4,13,14,2,2,-,-,-,10
S00135460,46,18,6,10,6,4,-,-,-,1,5
S00135461,57,10,-,13,14,2,-,-,-,-,13
S00135462,76,28,5,18,13,1,2,-,2,-,11
S00135463,71,10,7,15,16,8,-,-,-,-,13
S00135464,61,11,4,6,22,4,-,-,2,-,12
S00135465,47,12,4,7,15,1,2,-,-,-,6
S00135466,59,24,5,16,9,3,-,-,-,-,1
S00135467,52,17,2,15,11,2,-,-,-,-,4
S00135468,62,20,5,5,16,7,-,-,1,-,9
S00135469,44,9,7,8,13,4,-,-,-,-,5
S00135470,76,19,4,16,18,9,4,-,-,-,8
S00135471,74,18,3,25,12,3,2,-,-,1,10
S00135472,68,19,4,17,9,4,1,-,1,-,9
S00135473,60,12,8,14,15,-,-,-,-,-,11
S00135474,66,24,7,12,16,4,-,1,-,1,4
S00135475,52,11,5,9,9,3,-,-,1,1,12
S00135476,47,17,4,12,11,1,1,-,-,-,4
S00135477,76,22,3,5,28,9,1,-,-,-,8
S00135478,19,6,3,3,7,-,1,-,-,-,1
S00135479,67,22,6,18,8,6,1,-,-,-,11
S00135480,70,20,8,14,14,4,-,-,1,1,8
S00135481,44,16,4,9,5,2,-,-,-,-,8
S00135482,24,3,2,8,4,3,-,-,-,2,4
S00135483,45,11,7,7,7,4,-,-,1,-,7
S00135484,32,13,3,11,5,1,-,-,-,-,4
S00135485,73,19,8,15,14,2,1,1,-,2,11
S00135486,57,21,2,10,9,7,-,-,-,1,5
S00135487,68,26,2,8,20,3,-,-,-,-,7
S00135488,54,11,5,13,12,6,1,-,1,-,6
S00135489,71,12,-,14,24,6,-,-,-,-,15
S00135490,62,15,7,17,12,5,-,2,-,2,8
S00135491,82,20,3,20,21,5,-,1,1,2,10
S00135492,62,21,3,15,9,4,1,-,-,-,5
S00135493,101,27,2,18,22,8,-,1,-,1,20
S00135494,45,13,4,12,5,2,-,-,-,-,10
S00135495,49,14,1,11,16,3,-,-,-,-,5
S00135496,46,9,6,15,10,-,1,-,-,-,5
S00135497,102,30,10,18,21,10,3,2,1,1,13
S00135498,93,16,2,31,16,8,-,1,-,-,16
S00135499,55,10,3,16,10,5,-,-,-,-,17
S00135500,72,24,2,10,22,5,1,-,-,-,9
S00135501,59,19,3,13,17,-,2,-,-,-,7
S00135502,87,27,10,19,12,5,4,1,1,-,16
S00135503,31,11,3,5,3,4,-,-,-,-,6
S00135504,47,9,2,20,10,1,-,-,-,-,6
S00135505,91,24,1,30,18,6,3,-,-,1,9
S00135506,63,13,1,20,13,7,1,-,-,-,7
S00135507,90,31,4,17,17,5,2,-,-,-,13
S00135508,32,6,4,8,6,3,-,-,-,-,6
S00135509,65,21,5,18,11,3,1,-,-,-,4
S00135510,63,14,4,20,13,3,-,1,-,-,6
S00135511,78,14,3,31,10,3,2,1,1,1,8
S00135512,68,15,4,23,10,3,2,1,-,-,11
S00135513,44,11,2,11,13,2,-,-,-,-,7
S00135514,50,15,6,10,7,2,-,-,-,-,6
S00135515,58,17,2,15,11,3,3,1,2,-,9
S00135516,86,29,5,15,21,5,1,-,1,-,6
S00135517,75,20,8,13,19,5,1,-,-,-,8
S00135518,42,11,4,13,7,2,1,-,-,-,3
S00135519,85,24,2,32,12,4,1,-,-,-,16
S00135520,88,33,4,20,7,3,-,-,-,-,16
S00135521,75,18,7,13,18,3,4,-,-,-,8
S00135522,52,17,2,14,10,3,2,-,-,-,4
S00135523,20,3,3,7,5,-,1,-,-,-,1
S00135524,68,21,4,14,17,4,-,-,2,-,7
S00135525,81,26,1,16,21,3,4,-,-,-,9
S00135526,52,9,5,11,15,3,-,-,-,-,10
S00135527,28,10,1,5,6,2,1,-,-,-,6
S00135528,65,16,7,23,7,5,-,-,1,-,12
S00135529,68,17,4,13,18,1,-,-,-,-,13
S00135530,40,10,3,9,7,3,-,2,-,-,8
S00135531,46,8,6,14,9,-,3,-,-,-,4
S00135532,57,31,-,8,9,-,3,-,-,-,6
S00135533,79,25,1,17,21,4,-,-,-,-,13
S00135534,68,18,2,26,15,3,-,-,-,1,6
S00135535,74,25,5,16,11,4,-,-,-,1,14
S00135536,99,25,3,14,28,8,-,-,-,-,11
S00135537,73,19,2,17,23,3,-,-,-,-,8
S00135538,37,9,5,11,6,-,-,-,-,-,2
S00135539,31,7,5,7,5,1,1,-,-,-,5
S00135540,62,18,2,8,22,3,-,1,-,-,8
S00135541,26,11,-,10,6,2,-,-,-,-,1
S00135542,105,28,6,27,23,5,-,1,-,1,12
S00135543,115,26,2,37,27,3,1,-,-,1,16
S00135544,36,9,-,6,9,4,-,-,-,-,8
S00135545,66,22,7,14,6,-,1,-,-,2,17
S00135546,33,9,2,7,6,2,-,-,-,-,6
S00135547,88,26,4,23,17,8,-,-,1,2,10
S00135548,41,8,3,8,5,4,-,-,-,-,13
S00135549,32,9,4,3,8,-,-,-,-,-,5
