OutputArea,All people aged 16 and over in employment the week before the census (including full-time students if they gave a work address as the address they primarily travel to for work or study),Mainly work from home,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Other - No fixed place of work or working outside the UK
S00140989,18,7,-,-,6,2,2,-,4,-,1
S00140990,36,16,6,-,2,5,1,-,-,4,3
S00140991,57,13,2,5,19,7,2,3,-,2,8
S00140992,41,14,10,-,-,3,4,1,-,4,9
S00140993,52,6,10,2,-,15,3,-,-,2,15
S00140994,56,10,14,5,1,7,4,-,1,-,11
S00140995,25,11,1,-,-,6,1,-,-,1,4
S00140996,42,22,1,1,1,7,3,-,3,-,6
S00140997,52,21,8,1,-,6,8,-,-,3,8
S00140998,78,31,12,6,-,8,6,2,1,3,11
S00140999,32,6,9,1,-,5,1,-,-,4,7
S00141000,46,11,10,4,-,3,2,-,-,2,17
S00141001,48,24,1,1,2,2,3,-,2,3,10
S00141002,43,14,8,1,-,4,2,-,2,1,14
S00141003,53,10,17,3,-,5,4,-,-,-,15
S00141004,52,13,16,3,-,4,3,-,-,1,10
S00141005,42,5,9,4,-,2,8,-,1,2,13
S00141006,36,8,1,-,-,14,-,-,4,2,6
S00141007,26,8,-,11,2,-,-,-,2,1,4
S00141008,56,19,-,1,6,17,2,-,-,2,7
S00141009,27,8,-,8,-,-,-,-,-,-,9
S00141010,24,5,2,10,-,-,2,1,-,2,2
S00141011,31,9,-,14,2,-,-,-,-,1,6
S00141012,52,12,4,17,1,-,1,1,-,-,15
S00141013,43,10,1,20,1,2,-,-,1,-,8
S00141014,48,17,-,14,3,2,-,-,2,-,9
S00141015,26,10,1,17,-,-,-,-,-,1,4
S00141016,50,12,2,21,-,-,-,-,4,1,9
S00141017,67,13,3,28,1,-,1,1,1,5,14
S00141018,32,6,2,16,-,-,-,2,1,2,4
S00141019,51,17,3,18,1,-,-,-,-,6,6
S00141020,82,37,9,9,8,2,2,-,6,-,15
S00141021,33,12,4,-,-,-,4,2,-,-,7
S00141022,80,33,13,1,11,2,4,-,-,4,8
S00141023,39,15,-,12,1,-,-,-,1,2,5
S00141024,49,15,16,3,-,2,-,-,1,1,8
S00141025,35,12,4,6,2,-,-,-,2,6,4
S00141026,33,13,-,15,1,-,-,-,-,1,3
S00141027,54,17,14,12,4,-,-,-,-,1,6
S00141028,30,13,6,4,1,-,-,-,1,-,3
S00141029,38,11,-,16,-,1,-,-,-,-,6
S00141030,32,13,8,5,-,-,-,-,-,2,4
S00141031,33,12,12,-,-,-,-,-,-,-,5
S00141032,40,20,-,8,2,-,-,-,1,-,3
S00141033,49,22,10,6,2,1,-,-,-,1,8
S00141034,30,11,2,12,-,-,-,-,-,-,4
S00141035,34,13,11,-,1,1,2,-,-,4,4
S00141036,41,13,15,1,3,-,-,-,4,-,4
S00141037,27,9,11,-,1,-,-,-,-,-,4
S00141038,25,17,2,-,-,-,-,-,-,-,4
S00141039,21,11,2,-,-,1,-,-,1,1,3
S00141040,77,20,40,-,1,2,-,-,1,2,11
S00141041,26,8,18,-,-,-,-,-,-,-,-
S00141042,37,9,18,-,2,-,-,-,-,-,8
S00141043,7,5,4,-,-,-,-,-,-,-,1
S00141044,29,10,12,1,-,-,-,-,2,-,4
S00141045,26,16,8,-,-,-,-,-,-,-,3
S00141046,23,9,8,-,1,-,-,-,-,1,4
S00141047,53,13,24,-,1,1,-,1,3,-,6
S00141048,85,27,10,8,11,9,4,-,-,5,11
S00141049,28,9,9,2,1,-,1,-,-,3,5
S00141050,37,13,14,1,-,1,1,-,-,-,5
S00141051,56,22,19,4,1,-,-,1,-,-,9
S00141052,38,12,20,-,2,-,1,-,1,-,3
S00141053,40,8,18,2,-,1,2,2,-,2,7
S00141054,23,7,13,-,1,-,-,-,-,1,1
S00141055,51,17,24,3,4,-,-,-,-,-,2
S00141056,43,10,24,-,-,2,-,1,-,-,8
S00141057,33,9,14,-,-,1,-,1,-,2,5
S00141058,30,12,16,1,-,-,-,-,2,-,4
S00141059,45,12,25,-,-,-,-,-,1,1,6
S00141060,28,11,1,7,2,-,-,-,-,1,7
S00141061,30,8,17,2,1,-,-,-,-,-,2
S00141062,34,12,7,-,1,-,2,2,1,1,4
S00141063,32,11,12,-,-,2,2,-,-,-,4
S00141064,51,13,22,3,-,-,1,-,2,-,8
S00141065,49,17,24,1,1,-,-,-,-,2,6
S00141066,31,6,17,2,-,-,-,-,2,-,4
S00141067,58,16,29,2,3,1,-,-,-,1,4
S00141068,36,4,17,-,1,-,1,-,1,-,12
S00141069,36,8,5,7,8,2,5,-,-,2,3
S00141070,63,19,-,9,6,5,4,1,7,-,12
S00141071,52,25,2,-,2,4,5,1,2,2,10
S00141072,35,19,-,3,1,5,2,-,-,-,3
S00141073,61,18,5,9,12,6,1,-,-,-,10
S00141074,60,20,20,-,5,5,1,-,-,2,6
S00141075,98,29,25,2,9,12,-,-,-,5,13
S00141076,60,18,18,1,8,5,-,-,-,4,6
S00141077,54,23,2,7,7,3,2,-,-,2,7
S00141078,97,27,29,1,9,16,-,-,-,4,12
S00141079,50,13,13,4,4,8,1,-,-,5,6
S00141080,57,12,19,4,7,14,-,-,-,-,1
S00141081,42,17,1,-,3,10,3,1,-,6,3
S00141082,36,9,2,1,12,1,1,-,-,1,3
S00141083,46,17,2,8,11,5,-,-,-,-,4
S00141084,74,28,4,-,-,12,4,4,3,-,14
S00141085,91,33,17,9,1,-,6,3,2,1,17
S00141086,50,22,3,-,1,-,17,1,3,1,7
S00141087,90,43,1,6,8,10,3,-,1,-,10
S00141088,27,9,-,-,-,8,-,-,-,1,9
S00141089,36,17,-,4,-,1,4,-,2,3,5
S00141090,31,11,1,-,2,3,4,1,1,4,6
S00141091,67,14,11,6,2,13,3,-,-,1,16
S00141092,45,11,10,3,3,10,-,-,-,2,9
S00141093,82,20,16,5,6,13,4,-,-,3,12
S00141094,46,13,4,3,6,8,2,-,-,3,7
S00141095,31,9,6,-,4,3,2,-,-,-,4
S00141096,77,23,11,7,8,14,1,-,-,-,12
S00141097,48,7,10,3,9,6,5,-,-,1,13
S00141098,54,20,-,-,-,11,-,-,8,3,7
S00141099,40,19,-,-,1,2,8,-,6,3,6
S00141100,40,17,4,2,3,6,1,-,-,1,7
S00141101,55,21,4,1,4,10,-,1,-,3,11
S00141102,30,17,2,-,-,-,7,-,-,-,8
S00141103,41,9,7,1,-,-,7,1,-,2,11
S00141104,40,18,-,-,-,13,-,-,-,-,5
S00141105,41,22,1,4,3,1,-,-,-,3,4
S00141106,58,19,2,6,11,4,-,1,-,-,12
S00141107,47,16,3,2,17,1,-,-,2,5,3
S00141108,99,35,11,30,5,-,-,-,-,4,14
S00141109,36,13,-,-,13,-,-,1,1,8,2
S00141110,106,31,3,1,36,-,1,-,1,12,22
S00141111,61,14,18,13,1,-,-,-,2,-,13
S00141112,77,27,1,6,28,2,-,-,-,-,7
S00141113,38,16,15,-,-,1,-,-,-,-,8
S00141114,27,7,12,5,1,-,-,-,-,-,1
S00141115,34,10,15,-,2,-,-,-,-,1,6
S00141116,40,11,19,-,2,-,-,-,-,-,8
S00141117,75,21,32,4,2,1,-,-,-,-,17
S00141118,58,13,28,3,-,-,-,-,1,1,12
S00141119,36,11,18,2,-,-,-,-,-,1,3
S00141120,29,9,7,2,2,-,-,-,-,-,6
S00141121,44,7,24,-,1,-,2,-,-,4,8
S00141122,15,7,8,-,-,-,-,-,-,1,4
S00141123,47,13,18,1,-,1,1,-,-,-,11
S00141124,64,15,27,-,3,1,2,-,-,3,13
S00141125,58,22,4,-,19,-,-,-,-,2,13
S00141126,20,3,12,-,-,-,-,-,-,1,2
S00141127,46,8,24,2,2,1,-,-,-,1,10
S00141128,61,17,24,-,4,-,-,-,-,4,14
S00141129,44,12,20,2,4,-,-,-,-,1,5
S00141130,22,2,14,1,1,-,-,-,-,2,1
S00141131,103,46,4,29,9,1,2,-,-,4,6
S00141132,24,5,1,-,10,-,1,-,-,1,4
S00141133,44,12,20,4,2,-,-,-,1,-,6
S00141134,34,12,10,-,-,1,1,-,1,5,5
S00141135,45,10,19,3,3,3,-,-,-,1,8
S00141136,30,6,20,-,-,-,-,-,-,1,6
S00141137,35,11,13,-,2,-,2,-,-,1,9
S00141138,40,14,12,13,-,-,-,-,-,1,3
S00141139,60,12,25,-,3,-,-,1,-,4,11
S00141140,51,14,21,-,3,-,1,-,-,1,9
S00141141,49,24,-,6,7,2,-,-,-,2,10
S00141142,34,5,11,-,1,-,1,1,-,4,10
S00141143,23,8,9,-,3,1,-,-,-,1,1
S00141144,78,24,36,-,5,1,1,-,-,4,10
S00141145,35,13,16,-,-,1,-,-,-,1,6
S00141146,32,5,13,-,1,-,2,-,-,-,8
S00141147,45,14,20,-,1,1,-,-,-,-,6
S00141148,32,13,8,-,-,-,-,-,-,3,8
S00141149,29,7,13,2,2,-,-,-,-,2,2
S00141150,40,10,15,-,4,-,-,-,-,-,7
S00141151,83,19,26,7,5,-,1,-,1,3,23
S00141152,21,4,16,-,2,-,-,-,-,1,3
S00141153,28,9,10,1,2,-,-,-,-,-,4
S00141154,30,7,15,4,-,2,-,-,-,2,3
S00141155,56,12,11,14,5,-,-,-,-,1,10
S00141156,51,12,-,24,1,-,-,2,-,-,11
S00141157,59,22,17,6,1,-,-,1,1,2,7
S00141158,58,15,28,8,4,-,-,-,-,2,3
S00141159,53,14,13,6,-,-,-,-,-,4,9
S00141160,65,16,25,4,1,-,2,-,1,2,14
S00141161,73,18,23,3,1,-,1,1,2,2,16
S00141162,40,26,2,1,-,7,-,2,-,-,6
S00141163,75,39,-,-,-,16,-,-,-,5,8
S00141164,68,27,3,-,1,19,-,2,1,-,14
S00141165,64,33,5,3,7,6,2,-,-,-,7
S00141166,98,45,3,-,8,27,4,-,4,-,9
S00141167,39,15,-,2,5,10,3,-,3,-,4
S00141168,22,7,4,1,5,4,-,-,-,-,-
S00141169,86,35,7,2,3,24,4,-,1,3,7
S00141170,57,18,2,2,6,14,1,-,1,2,7
S00141171,32,14,1,2,4,5,-,-,-,3,3
S00141172,66,33,5,-,6,13,2,1,-,-,9
S00141173,40,19,4,-,1,4,1,2,1,-,6
S00141174,84,40,5,3,9,21,1,-,2,-,7
S00141175,46,20,5,-,3,9,-,-,2,2,4
S00141176,51,17,6,-,4,14,-,-,-,-,11
S00141177,71,28,1,4,27,4,-,1,-,1,8
S00141178,45,12,5,1,7,18,-,-,-,-,4
S00141179,53,25,1,-,3,18,-,-,2,-,4
S00141180,60,12,8,-,5,21,-,-,-,-,7
S00141181,69,18,4,4,11,21,1,-,2,1,8
S00141182,66,28,5,-,6,14,2,-,-,2,8
S00141183,48,14,3,3,3,13,2,-,1,-,10
S00141184,77,30,4,-,2,21,5,-,1,-,14
S00141185,61,28,1,-,6,13,3,-,-,5,5
S00141186,52,18,8,2,4,12,1,-,-,-,6
S00141187,48,23,-,1,4,9,2,-,-,-,8
S00141188,71,32,6,1,4,15,3,-,4,1,7
S00141189,59,22,5,1,5,21,1,1,1,1,7
S00141190,68,19,2,2,3,25,1,-,2,1,10
S00141191,72,30,10,2,3,19,3,-,-,1,4
S00141192,108,51,9,1,5,30,1,-,-,2,10
S00141193,66,33,1,-,11,13,2,-,-,-,5
S00141194,100,53,5,23,8,6,-,-,-,-,5
S00141195,68,18,9,1,7,21,3,1,-,-,5
S00141196,60,21,1,1,8,16,4,-,1,-,6
S00141197,85,33,4,4,12,20,3,1,2,-,11
S00141198,69,21,2,1,14,19,-,-,1,-,13
S00141199,54,21,2,6,5,12,2,-,2,-,4
S00141200,66,26,2,8,20,1,1,-,2,-,6
S00141201,39,21,1,-,2,8,-,-,-,1,6
S00141202,96,30,8,7,7,25,1,1,-,-,11
S00141203,89,43,8,1,5,19,2,3,-,1,8
S00141204,80,20,9,2,2,30,1,1,1,4,11
S00141205,69,29,3,-,7,18,3,-,3,1,2
S00141206,60,20,2,3,5,13,3,-,-,-,10
S00141207,62,17,5,1,11,13,2,-,1,2,11
S00141208,69,31,4,12,7,1,-,1,-,-,10
S00141209,65,25,7,-,9,10,2,-,-,-,11
S00141210,69,18,9,4,5,18,3,-,2,-,11
S00141211,46,16,2,-,4,9,4,-,2,1,8
S00141212,44,18,3,1,5,9,2,1,2,-,3
S00141213,84,41,-,-,8,22,3,-,2,1,6
S00141214,57,28,4,-,5,14,4,-,-,-,2
S00141215,34,16,-,1,2,9,2,-,-,-,5
S00141216,75,22,7,-,7,25,-,-,1,1,9
S00141217,50,14,4,-,5,16,4,1,3,-,4
S00141218,74,25,4,2,6,23,4,1,1,-,8
S00141219,71,24,3,17,12,3,1,-,-,-,11
S00141220,69,25,4,-,4,23,4,-,-,-,12
S00141221,76,31,-,14,15,5,1,-,-,-,10
S00141222,54,21,6,1,6,16,1,-,-,-,3
S00141223,88,37,5,1,4,28,2,-,1,1,7
S00141224,84,24,6,1,7,25,1,1,-,-,13
S00141225,42,23,-,9,3,2,-,-,1,1,4
S00141226,73,39,3,12,4,5,1,-,-,1,7
S00141227,34,16,2,2,6,-,-,-,-,-,6
S00141228,69,20,11,2,6,19,4,-,1,-,5
S00141229,82,47,6,11,5,-,2,1,-,3,4
S00141230,63,18,10,-,13,14,-,2,1,-,7
S00141231,80,37,4,1,10,14,1,-,2,2,8
S00141232,62,29,2,14,8,3,-,-,-,5,4
S00141233,72,19,6,1,9,18,1,-,-,2,11
S00141234,57,19,-,12,10,4,2,1,-,3,6
S00141235,88,25,3,10,24,-,-,-,-,12,12
S00141236,107,59,1,2,8,24,2,1,-,3,8
S00141237,81,30,6,3,4,23,4,1,2,4,7
S00141238,78,46,3,13,3,1,1,-,-,-,10
S00141239,49,23,3,-,1,16,2,1,1,-,3
S00141240,67,30,-,14,6,1,-,1,2,5,6
S00141241,57,25,3,-,11,14,1,-,-,-,1
S00141242,51,17,4,-,2,18,-,-,-,-,6
S00141243,75,26,1,-,7,29,1,1,3,2,6
S00141244,81,30,9,1,9,19,2,-,-,-,13
S00141245,38,18,2,11,4,2,-,-,1,1,3
S00141246,69,41,2,11,5,-,-,-,1,1,7
S00141247,66,20,-,21,11,4,1,-,-,1,10
S00141248,74,26,2,16,12,1,4,-,-,2,13
S00141249,64,22,7,16,10,1,2,-,-,-,6
S00141250,75,39,1,13,8,6,2,-,-,2,8
S00141251,50,16,1,8,13,3,-,2,-,-,9
S00141252,52,18,5,3,7,13,2,-,-,-,5
S00141253,53,21,9,15,4,-,1,-,-,4,4
S00141254,80,38,2,-,5,21,2,1,1,1,6
S00141255,79,30,-,12,18,2,7,-,-,4,6
S00141256,36,15,-,10,4,-,1,-,-,1,4
S00141257,62,14,6,-,7,11,6,-,-,-,14
S00141258,69,27,2,11,19,3,1,-,-,-,9
S00141259,43,23,-,2,4,6,1,-,1,1,4
S00141260,61,23,4,8,16,-,-,-,-,1,12
S00141261,87,37,-,6,9,19,4,-,-,1,11
S00141262,64,24,4,-,6,21,2,-,-,-,6
S00141263,44,22,1,8,6,7,-,-,2,-,4
S00141264,55,17,11,-,9,11,1,-,2,1,3
S00141265,57,21,9,4,6,8,1,-,-,-,6
S00141266,42,14,-,13,5,5,-,-,-,2,5
S00141267,72,29,3,13,10,5,2,-,-,1,12
S00141268,82,21,14,2,14,19,3,-,1,-,8
S00141269,87,36,-,-,11,28,1,-,3,1,6
S00141270,78,26,1,15,17,5,-,-,-,2,11
S00141271,72,32,4,1,6,27,2,-,-,1,6
S00141272,74,40,2,-,5,19,-,1,2,-,-
S00141273,74,26,4,18,11,3,-,-,-,-,17
S00141274,56,18,7,2,11,19,2,-,-,-,1
S00141275,88,31,2,4,9,24,-,-,2,-,14
S00141276,90,36,5,14,11,4,3,4,-,2,13
S00141277,48,25,2,16,2,-,-,-,1,2,9
S00141278,70,28,5,-,2,22,2,-,2,-,11
S00141279,51,16,1,2,6,17,2,1,1,-,7
S00141280,91,28,10,27,11,2,-,-,-,1,7
S00141281,64,27,-,-,10,19,5,2,-,-,3
S00141282,47,15,4,13,8,1,1,-,-,5,1
S00141283,68,24,-,16,9,8,-,-,-,2,4
S00141284,57,33,3,1,1,9,1,-,-,-,6
S00141285,93,46,1,13,10,4,1,2,-,-,10
S00141286,74,34,6,12,8,2,1,-,-,-,8
S00141287,102,51,1,6,17,4,3,-,1,-,11
S00141288,81,34,2,13,14,12,-,-,-,1,6
S00141289,50,11,4,16,7,3,1,-,2,-,6
S00141290,57,20,6,12,6,-,-,-,-,-,6
S00141291,73,26,6,12,8,4,-,-,1,2,11
S00141292,84,32,2,31,4,2,1,-,3,1,9
S00141293,40,15,-,7,8,1,-,-,-,-,9
S00141294,69,27,3,11,18,1,2,-,-,-,12
S00141295,56,22,4,7,8,3,1,-,-,-,9
S00141296,33,6,4,12,1,3,-,-,-,-,4
S00141297,53,15,6,17,9,-,-,-,-,-,3
S00141298,50,20,-,14,6,4,2,-,-,-,5
S00141299,33,7,4,10,5,-,4,-,-,-,3
S00141300,69,25,4,15,5,4,2,-,1,3,10
S00141301,34,13,-,7,5,1,-,-,-,-,8
S00141302,52,12,1,23,7,3,-,-,2,1,4
S00141303,52,24,2,16,1,2,3,1,1,2,4
S00141304,49,15,1,16,4,-,1,-,-,6,5
S00141305,86,44,-,24,4,2,2,-,3,1,6
S00141306,56,20,1,17,5,5,4,-,-,1,8
S00141307,76,40,3,17,5,5,2,-,-,-,3
S00141308,58,34,3,8,6,-,1,-,-,1,3
S00141309,51,28,1,3,17,3,-,-,-,3,-
S00141310,70,23,8,22,7,1,-,-,-,-,8
S00141311,41,13,2,5,6,4,-,-,-,-,14
S00141312,81,28,9,23,4,1,-,-,1,-,12
S00141313,56,24,3,9,8,2,1,-,-,2,10
S00141314,44,13,-,10,10,1,2,-,-,-,9
S00141315,53,24,1,18,2,3,-,-,1,1,3
S00141316,35,4,2,10,5,5,-,-,-,2,10
S00141317,43,13,3,15,6,-,2,-,-,-,3
S00141318,83,26,4,29,6,3,-,-,1,-,17
S00141319,79,39,6,15,5,1,1,2,-,7,2
S00141320,57,23,2,10,14,1,2,-,-,-,8
S00141321,35,13,2,13,1,-,-,-,2,2,1
S00141322,40,8,2,15,5,-,-,-,1,1,6
S00141323,70,17,7,12,12,4,1,2,1,-,12
S00141324,48,21,1,10,3,1,-,-,-,1,10
S00141325,48,18,-,15,3,1,1,-,-,1,9
S00141326,44,19,4,10,4,4,-,-,-,-,3
S00141327,62,26,-,17,2,1,3,-,1,-,3
S00141328,59,22,2,13,6,3,-,-,1,3,7
S00141329,74,35,5,16,6,3,1,1,-,2,4
S00141330,50,25,2,18,-,-,-,-,2,-,2
S00141331,39,6,6,7,9,4,3,-,-,-,7
S00141332,37,11,3,11,8,2,1,-,-,-,1
S00141333,55,23,6,7,5,3,-,-,-,-,8
S00141334,55,23,3,19,-,2,-,-,-,2,6
S00141335,78,33,1,22,5,1,1,-,-,-,9
S00141336,73,36,11,18,6,2,-,-,-,-,6
S00141337,49,20,1,12,4,5,-,-,-,2,8
S00141338,117,34,13,28,8,2,-,-,-,7,18
S00141339,100,42,13,22,9,4,1,-,-,-,8
S00141340,28,6,3,6,4,-,-,-,-,-,8
S00141341,54,19,2,19,4,2,-,-,-,-,7
S00141342,56,18,4,16,6,3,1,-,-,-,6
S00141343,42,7,5,12,3,-,-,-,-,-,11
S00141344,44,12,6,14,3,-,-,-,-,-,3
S00141345,65,29,5,11,7,4,1,-,1,-,9
S00141346,24,9,3,5,3,-,4,1,-,-,1
S00141347,65,20,2,23,7,1,-,-,-,-,11
S00141348,33,8,4,12,5,2,2,-,-,1,-
S00141349,68,30,3,18,3,2,-,-,-,2,7
S00141350,66,21,9,15,9,1,-,-,-,-,6
S00141351,25,4,-,9,3,-,1,-,-,-,7
S00141352,52,15,3,18,4,1,2,-,-,1,8
S00141353,45,20,-,12,3,3,-,-,-,-,6
S00141354,37,7,-,18,3,2,-,-,-,-,6
S00141355,33,5,2,9,6,1,-,1,-,-,9
S00141356,64,27,5,18,3,-,-,-,1,1,8
S00141357,110,52,10,20,9,3,3,-,1,-,8
S00141358,36,12,3,14,1,-,-,-,-,-,4
S00141359,38,10,-,14,5,1,2,-,-,-,4
S00141360,25,7,-,7,3,2,-,-,-,-,8
S00141361,56,24,2,18,1,1,-,-,1,2,3
S00141362,51,26,2,13,3,-,-,-,-,-,4
S00141363,61,17,6,17,9,1,1,-,1,-,9
S00141364,37,7,4,12,1,3,2,-,-,-,7
S00141365,88,30,-,21,14,9,-,-,-,1,9
S00141366,49,12,5,12,8,2,1,-,-,-,7
S00141367,77,29,6,23,10,2,1,-,-,-,2
S00141368,38,18,4,1,4,1,1,1,-,-,5
S00141369,68,42,3,12,3,2,-,-,-,-,7
S00141370,38,12,3,4,9,3,-,-,-,-,6
S00141371,78,26,2,22,9,-,1,-,-,1,12
S00141372,67,28,-,15,12,1,2,-,-,1,5
S00141373,32,9,3,9,2,4,1,-,-,-,3
S00141374,67,22,5,16,10,5,-,-,2,1,7
S00141375,74,27,3,11,21,4,1,1,-,-,6
S00141376,58,24,5,13,8,-,-,-,-,-,8
S00141377,36,14,3,20,-,2,-,-,-,-,-
S00141378,23,5,1,7,3,-,-,-,-,-,6
S00141379,59,21,1,11,19,1,2,-,-,-,9
S00141380,84,36,1,7,16,7,-,1,2,1,9
S00141381,51,12,2,18,6,-,-,2,-,1,11
S00141382,79,40,12,11,3,-,1,-,-,-,13
S00141383,62,33,2,10,7,2,-,1,-,2,4
S00141384,54,28,2,11,6,1,1,-,-,-,5
S00141385,71,25,5,21,5,5,1,1,-,-,11
S00141386,48,14,2,18,3,1,-,-,-,-,7
S00141387,48,19,1,14,6,-,1,-,-,-,4
S00141388,77,20,8,21,12,5,-,-,-,-,10
S00141389,60,32,3,10,3,4,-,-,-,2,5
S00141390,93,47,2,27,4,4,-,-,1,2,5
S00141391,40,15,2,13,2,-,-,-,-,-,7
S00141392,33,9,1,12,4,3,-,-,-,-,7
S00141393,27,6,5,8,2,-,-,-,-,-,3
S00141394,50,11,3,17,4,4,-,-,-,-,13
S00141395,45,12,7,7,1,3,-,-,-,-,11
S00141396,101,47,6,20,7,1,2,-,3,5,10
S00141397,74,27,6,21,7,3,-,-,-,1,9
S00141398,61,19,4,11,13,2,1,-,1,3,1
S00141399,62,30,-,6,12,6,1,1,-,2,4
S00141400,28,13,1,7,2,-,1,-,-,-,3
S00141401,90,35,4,20,13,4,-,-,2,1,9
S00141402,47,18,5,18,5,-,-,-,-,-,-
S00141403,68,31,5,14,7,4,-,-,-,-,8
S00141404,48,16,3,8,5,6,-,-,-,4,5
S00141405,49,21,-,22,2,3,-,-,-,1,-
S00141406,41,14,3,17,-,1,-,-,-,2,7
S00141407,64,27,-,11,10,4,-,1,1,1,11
S00141408,28,6,-,13,1,2,-,-,-,-,7
S00141409,103,55,8,16,6,-,2,-,2,-,5
S00141410,46,11,5,14,7,4,1,-,-,-,4
S00141411,43,13,2,7,8,2,-,-,-,1,9
S00141412,61,21,3,16,3,3,-,-,-,2,10
S00141413,45,12,4,13,7,4,-,1,1,2,4
S00141414,117,45,6,32,12,3,6,1,-,3,7
S00141415,74,33,3,18,9,1,1,-,-,-,9
S00141416,43,12,-,10,6,2,1,-,-,-,14
S00141417,93,37,3,13,24,7,-,-,1,1,8
S00141418,53,27,3,10,5,-,-,-,-,-,4
S00141419,61,16,6,14,3,3,2,-,-,-,18
S00141420,53,25,5,7,8,1,-,-,2,-,9
S00141421,45,21,2,6,6,1,-,1,1,-,11
S00141422,55,15,6,8,13,7,-,2,-,-,5
S00141423,77,22,11,22,8,2,-,-,-,-,12
S00141424,50,16,1,17,11,-,-,-,1,-,5
S00141425,33,13,6,6,4,1,-,-,1,-,5
S00141426,84,39,2,6,21,6,-,-,3,4,5
S00141427,31,10,6,3,5,2,-,-,-,-,7
S00141428,84,42,11,13,9,1,-,-,1,-,11
S00141429,35,9,-,9,8,-,-,-,1,1,7
S00141430,69,16,5,15,16,4,1,-,-,-,7
S00141431,60,20,2,10,17,1,7,-,1,-,6
S00141432,44,10,6,12,8,-,1,-,-,-,9
S00141433,59,17,-,24,6,5,1,-,-,-,6
S00141434,48,22,2,12,5,3,1,1,-,1,5
S00141435,67,25,7,20,3,1,-,-,-,-,8
S00141436,60,16,4,7,21,2,-,-,1,-,8
S00141437,93,39,10,23,6,4,1,-,-,1,11
S00141438,48,15,1,21,5,2,4,-,-,-,4
S00141439,49,15,2,7,13,2,1,-,-,-,5
S00141440,55,20,1,16,8,-,1,-,-,-,6
S00141441,44,17,1,9,8,-,-,1,-,-,6
S00141442,57,22,2,5,17,3,-,-,3,1,6
S00141443,46,25,8,10,4,-,1,-,-,1,3
S00141444,34,8,1,2,3,-,1,-,-,-,15
S00141445,39,10,3,8,9,1,-,-,-,-,7
S00141446,89,52,6,8,10,-,1,-,5,3,7
S00141447,94,33,4,22,14,7,2,-,-,-,11
S00141448,44,11,5,8,6,3,-,-,-,1,10
S00141449,51,15,6,15,8,1,-,-,-,-,7
S00141450,62,34,-,4,12,5,-,-,-,1,6
S00141451,52,21,1,10,4,1,1,-,-,-,15
S00141452,54,12,5,15,14,-,-,-,-,1,10
S00141453,91,27,4,26,18,4,1,-,1,-,10
S00141454,37,9,3,13,5,-,-,-,-,-,7
S00141455,34,15,4,9,4,-,-,-,-,-,5
S00141456,60,17,4,13,7,3,-,-,-,-,14
S00141457,109,52,9,18,10,3,1,2,1,3,11
S00141458,46,23,4,12,3,2,-,-,-,-,4
S00141459,64,32,7,14,3,3,2,-,-,2,3
S00141460,86,36,7,23,7,3,-,-,1,2,2
S00141461,67,19,6,16,14,-,-,-,-,-,12
S00141462,55,22,4,12,1,6,-,-,-,3,2
S00141463,48,23,3,6,4,3,-,-,-,2,6
S00141464,44,12,8,8,3,2,5,-,-,-,6
S00141465,33,9,3,6,5,1,-,-,-,-,6
S00141466,68,27,9,9,8,4,2,-,1,-,9
S00141467,85,40,6,24,3,1,5,1,1,2,4
S00141468,27,4,2,9,2,2,-,-,-,-,5
S00141469,96,46,5,14,8,5,-,1,-,3,15
S00141470,56,18,-,16,7,2,-,-,-,-,10
S00141471,45,11,1,13,7,-,-,-,-,-,12
S00141472,61,24,5,10,8,4,2,-,3,2,2
S00141473,102,41,7,26,8,5,-,-,-,4,11
S00141474,71,34,9,13,9,1,2,-,-,2,4
S00141475,45,12,2,16,10,1,-,-,-,-,3
S00141476,46,17,-,2,18,2,-,-,-,1,6
S00141477,95,40,5,28,7,4,-,-,-,1,9
S00141478,37,8,-,17,4,2,-,-,-,-,5
S00141479,37,8,2,12,7,2,1,1,-,-,4
S00141480,45,16,3,11,2,5,2,1,-,-,2
S00141481,63,24,4,21,3,2,3,-,-,-,4
S00141482,31,9,3,6,6,-,-,2,-,1,7
S00141483,32,11,1,8,5,1,-,-,-,3,2
S00141484,72,29,3,12,7,5,7,1,-,-,10
S00141485,66,21,1,23,6,-,-,-,-,1,13
S00141486,85,37,6,23,7,2,-,-,-,1,10
S00141487,37,10,4,8,7,3,-,-,-,-,5
S00141488,56,16,6,10,11,1,-,-,-,-,14
S00141489,69,27,1,9,16,5,1,1,-,1,11
S00141490,55,18,2,12,8,5,-,-,-,1,6
S00141491,53,12,8,17,10,-,2,-,-,-,6
S00141492,46,14,5,15,4,-,-,2,-,-,7
S00141493,50,25,-,4,10,2,4,-,-,-,6
S00141494,96,34,7,21,6,4,1,1,1,2,19
S00141495,70,31,1,16,6,2,1,-,-,1,11
S00141496,50,14,5,14,11,-,-,-,-,-,4
S00141497,73,36,2,16,8,3,1,1,-,-,5
S00141498,49,28,-,-,7,5,1,-,1,1,8
S00141499,32,14,1,9,5,-,-,-,-,1,5
S00141500,60,18,4,19,8,1,-,1,-,-,8
S00141501,44,19,2,14,-,1,4,-,-,-,6
