OutputArea,over16pop
S00135762,96
S00135763,75
S00135764,77
S00135765,119
S00135766,91
S00135767,98
S00135768,140
S00135769,101
S00135770,89
S00135771,100
S00135772,154
S00135773,118
S00135774,61
S00135775,129
S00135776,85
S00135777,136
S00135778,60
S00135779,102
S00135780,76
S00135781,98
S00135782,87
S00135783,135
S00135784,64
S00135785,59
S00135786,115
S00135787,51
S00135788,93
S00135789,80
S00135790,91
S00135791,143
S00135792,70
S00135793,76
S00135794,121
S00135795,78
S00135796,88
S00135797,193
S00135798,72
S00135799,144
S00135800,90
S00135801,64
S00135802,67
S00135803,84
S00135804,92
S00135805,71
S00135806,90
S00135807,89
S00135808,99
S00135809,81
S00135810,90
S00135811,125
S00135812,95
S00135813,89
S00135814,57
S00135815,66
S00135816,91
S00135817,94
S00135818,91
S00135819,89
S00135820,126
S00135821,65
S00135822,92
S00135823,122
S00135824,142
S00135825,75
S00135826,69
S00135827,57
S00135828,114
S00135829,81
S00135830,60
S00135831,96
S00135832,148
S00135833,97
S00135834,85
S00135835,133
S00135836,83
S00135837,106
S00135838,156
S00135839,225
S00135840,125
S00135841,59
S00135842,75
S00135843,72
S00135844,51
S00135845,62
S00135846,102
S00135847,214
S00135848,89
S00135849,66
S00135850,67
S00135851,91
S00135852,63
S00135853,78
S00135854,65
S00135855,92
S00135856,60
S00135857,50
S00135858,55
S00135859,69
S00135860,86
S00135861,90
S00135862,70
S00135863,73
S00135864,73
S00135865,92
S00135866,73
S00135867,92
S00135868,104
S00135869,62
S00135870,74
S00135871,137
S00135872,86
S00135873,98
S00135874,100
S00135875,100
S00135876,85
S00135877,124
S00135878,131
S00135879,74
S00135880,173
S00135881,99
S00135882,85
S00135883,61
S00135884,59
S00135885,80
S00135886,76
S00135887,65
S00135888,86
S00135889,61
S00135890,76
S00135891,65
S00135892,99
S00135893,95
S00135894,100
S00135895,126
S00135896,134
S00135897,129
S00135898,98
S00135899,72
S00135900,115
S00135901,92
S00135902,72
S00135903,89
S00135904,64
S00135905,65
S00135906,51
S00135907,96
S00135908,92
S00135909,58
S00135910,67
S00135911,87
S00135912,110
S00135913,104
S00135914,93
S00135915,126
S00135916,82
S00135917,118
S00135918,91
S00135919,79
S00135920,100
S00135921,98
S00135922,102
S00135923,198
S00135924,88
S00135925,60
S00135926,83
S00135927,113
S00135928,70
S00135929,59
S00135930,111
S00135931,97
S00135932,64
S00135933,117
S00135934,114
S00135935,91
S00135936,94
S00135937,103
S00135938,90
S00135939,67
S00135940,82
S00135941,111
S00135942,115
S00135943,88
S00135944,144
S00135945,71
S00135946,130
S00135947,112
S00135948,118
S00135949,128
S00135950,59
S00135951,129
S00135952,56
S00135953,110
S00135954,114
S00135955,115
S00135956,99
S00135957,100
S00135958,65
S00135959,118
S00135960,124
S00135961,135
S00135962,87
S00135963,146
S00135964,95
S00135965,90
S00135966,77
S00135967,85
S00135968,124
S00135969,72
S00135970,83
S00135971,113
S00135972,90
S00135973,98
S00135974,87
S00135975,73
S00135976,112
S00135977,66
S00135978,113
S00135979,78
S00135980,80
S00135981,125
S00135982,77
S00135983,107
S00135984,103
S00135985,101
S00135986,104
S00135987,76
S00135988,67
S00135989,88
S00135990,52
S00135991,71
S00135992,87
S00135993,90
S00135994,125
S00135995,63
S00135996,135
S00135997,105
S00135998,86
S00135999,93
S00136000,113
S00136001,75
S00136002,82
S00136003,69
S00136004,63
S00136005,101
S00136006,58
S00136007,140
S00136008,62
S00136009,97
S00136010,110
S00136011,108
S00136012,97
S00136013,84
S00136014,96
S00136015,102
S00136016,113
S00136017,139
S00136018,127
S00136019,870
S00136020,112
S00136021,59
S00136022,99
S00136023,57
S00136024,73
S00136025,88
S00136026,134
S00136027,65
S00136028,56
S00136029,68
S00136030,127
S00136031,101
S00136032,101
S00136033,121
S00136034,103
S00136035,125
S00136036,98
S00136037,77
S00136038,67
S00136039,77
S00136040,70
S00136041,120
S00136042,96
S00136043,75
S00136044,59
S00136045,116
S00136046,70
S00136047,107
S00136048,86
S00136049,120
S00136050,116
S00136051,100
S00136052,59
S00136053,76
S00136054,112
S00136055,102
S00136056,82
S00136057,103
S00136058,249
S00136059,76
S00136060,90
S00136061,393
S00136062,65
S00136063,95
S00136064,118
S00136065,93
S00136066,53
S00136067,53
S00136068,102
S00136069,106
S00136070,70
S00136071,138
S00136072,70
S00136073,90
S00136074,74
S00136075,94
S00136076,117
S00136077,81
S00136078,162
S00136079,62
S00136080,124
S00136081,72
S00136082,69
S00136083,95
S00136084,81
S00136085,77
S00136086,85
S00136087,89
S00136088,81
S00136089,141
S00136090,90
S00136091,104
S00136092,144
S00136093,97
S00136094,64
S00136095,53
S00136096,135
S00136097,135
S00136098,83
S00136099,117
S00136100,174
S00136101,90
S00136102,99
S00136103,78
S00136104,102
