X,Y,OBJECTID,ALCOHOL_SALES,LICENCE_NO,PREMISES_REF,LICENCE_HOLDER,PREMISES_MANAGER,GRANTDATE,CHILDREN,COREDAYS,COREACTIVE,CAPACITY_ON,CAPACITY_OFF,MAP_EAST,MAP_NORTH,UPRN,DISTANCE,ADDRESS,LOG_STATUS,AREANAME,AREACODE,WARDNO,WARDNAME,INTERZONE
252268,662483,1,Off,GC0001,52 Beltrees Road Glasgow G53 5TF   ,Afaq Ahmed,Afaq Ahmed,2008/06/02 00:00:00+00,,Monday to,Premises ,,13.32,252268,662483,906700245055,,52 Beltrees Road Glasgow G53 5TF ,,Pollok,44,03,Greater Pollok,S02001849
254262.84,665031.08,2,On,GC0007,Drumoyne Bowling Club 9 Drumoyne Square Glasgow G51 4BG  ,Drumoyne Bowling Club,,2008/06/02 00:00:00+00,,Monday to,Premises ,75,,254262.84,665031.08,906700155961,,9 Drumoyne Square Glasgow G51 4BG ,,Greater Govan,1,05,Govan,S02001855
259384,665144,3,On & Off,GC0008,Poko Loko 69 Hutcheson Street Glasgow G1 1SH  ,Manorview Partnerships Limited,Stuart Douglas Kay,2008/06/02 00:00:00+00,,On Sales ,Premises ,75,5.3,259384,665144,906700056361,,69 Hutcheson Street Glasgow G1 1SH ,,City Centre / Merchant City,29,10,Anderston/City/Yorkhill,S02001932
257355,669457,4,Off,GC0010,Panesar Convenience Store 84 Cadder Road Glasgow G20 0SA  ,Manjit Singh Panesar,Manjit Singh Panesar,2008/06/02 00:00:00+00,,Monday to,Premises ,,11.61,257355,669457,906700020771,,84 Cadder Road Glasgow G20 0SA ,,North Maryhill / Summerston,36,15,Maryhill,S02001947
258390,665898,5,On & Off,GC0014,303 Sauchiehall Street Glasgow G2 3HQ   ,Chinatown Investments (303) Limited,Quinnan Desmond Lee,2008/06/02 00:00:00+00,,On Sales ,Premises ,88,0,258390,665898,906700095710,,299 Sauchiehall Street Glasgow G2 3HQ ,,City Centre / Merchant City,29,10,Anderston/City/Yorkhill,S02001933
263090,665128,6,Off,GC0017,Saleem Licensed Grocer 548 Carntyne Road Glasgow G32 6EU  ,Saleem Ahmed,Adeel Ahmed Khan,2008/06/02 00:00:00+00,,Monday to,Premises ,,26.8,263090,665128,906700138977,,552 Carntyne Road Glasgow G32 6EU ,,Haghill / Carntyne,13,18,East Centre,S02001929
259615,664098,7,Off,GC0018,Waddell Court Licensed Grocers 31-37 Waddell Court Gorbals Glasgow G5 0PW ,Waddell Court Limited,Aroon Kyani Adris,2008/06/02 00:00:00+00,,Monday to,Premises ,,20,259615,664098,906700308250,,31 Waddell Court Glasgow G5 0PW ,,Greater Gorbals,3,08,Southside Central,S02001889
258298,662564,8,On & Off,GC0021,The Bell Jar 21 Dixon Avenue Glasgow G42 8EB  ,Barlington House Limited,Sophie Diviney,2008/06/02 00:00:00+00,,On Sales ,Premises ,166,12.75,258298,662564,906700253223,,21 Dixon Avenue Glasgow G42 8EB ,,Govanhill,4,08,Southside Central,S02001868
257955,662741,9,On & Off,GC0024,Heraghty's Bar 708 Pollokshaws Road Glasgow G41 2AD  ,The Firm of Heraghty's Bar,Laurence Welch,2008/06/02 00:00:00+00,,On Sales ,Premises ,60,6.6,257955,662741,906700301403,,708 Pollokshaws Road Glasgow G41 2AD ,,Shawlands / Strathbungo,6,06,Pollokshields,S02001868
263505,665379,10,Off,GC0025,Caledonia Store 133 Abbeyhill Street Glasgow G32 6HR  ,Nadeem Afzal,Nadeem Afzal,2008/06/02 00:00:00+00,,Monday to,Premises ,,12.8,263505,665379,906700000315,,133 Abbeyhill Street Glasgow G32 6HR ,,Haghill / Carntyne,13,18,East Centre,S02001913
258596,664888,11,On,GC0036,Grosvenor Casino Glasgow Riverboat 61 Broomielaw Glasgow G1 4RJ  ,Grosvenor Casinos (GC) Limited,Mark McCluskey,2008/06/02 00:00:00+00,,Monday to,Premises ,1155,,258596,664888,906700018926,,Riverboat Casino 61 Broomielaw Glasgow G1 4RJ ,,City Centre / Merchant City,29,10,Anderston/City/Yorkhill,S02001934
258249,665925,12,On & Off,GC0037,Henglers Circus 351/363 Sauchiehall Street Glasgow G2 3HU  ,J D Wetherspoon (Scot) Limited,Kirsty Lynne Johnston,2008/06/02 00:00:00+00,,On Sales ,Premises ,694,17.4,258249,665925,906700096597,,351 Sauchiehall Street Glasgow G2 3HU ,,City Centre / Merchant City,29,10,Anderston/City/Yorkhill,S02001933
256973,661722,13,On & Off,GC0038,Sir John Stirling Maxwell 140 Kilmarnock Road Glasgow G41 3NN  ,CDLH Surveyors Limited,Ann Margaret Jennens,2008/06/02 00:00:00+00,,On Sales ,Premises ,660,10.8,256973,661722,906700286993,,142 Kilmarnock Road Glasgow G41 3NN ,,Shawlands / Strathbungo,6,06,Pollokshields,S02001870
259159,665399,14,On & Off,GC0039,The Counting House 2 St Vincent Place 24 George Square Glasgow G1 2DH ,J D Wetherspoon (Scot) Limited,Michael Murphy,2008/06/02 00:00:00+00,,On Sales ,Premises ,900,3.2,259159,665399,906700097856,,2 St Vincent Place Glasgow G1 2EU ,,City Centre / Merchant City,29,10,Anderston/City/Yorkhill,S02001934
255114,665829,15,Off,GC0040,Liquor Barn 899 Govan Road Glasgow G51 3DN  ,Manoj Marwaha,Elaine Gallacher,2008/06/02 00:00:00+00,,Monday to,Premises ,,30.5,255114,665829,906700164590,,899 Govan Road Glasgow G51 3DN ,,Greater Govan,1,05,Govan,S02001856
253344,663403,16,Off,GC0042,Cardonald Superstore 832 Mosspark Drive Glasgow G52 3DA  ,Purmjeet Kaur Singh,Purmjeet Kaur Singh,2008/06/02 00:00:00+00,,Monday to,Premises ,,15.7,253344,663403,906700203393,,834 Mosspark Drive Glasgow G52 3DA ,,Crookston /South Cardonald,51,04,Cardonald,S02001850
260545,667708,17,On & Off,GC0056,Bell's Bar 143 Springburn Way Glasgow G21 1DT  ,James Thomson Walker,James Thomson Walker,2008/06/02 00:00:00+00,,On Sales ,Premises ,84,7.8,260545,667708,906700356021,,143 Springburn Way Glasgow G21 1DT ,,Springburn,24,17,Springburn/Robroyston,S02001922
259102,667773,18,Off,GC0058,170 Saracen Street Glasgow G22 5EP   ,One-O-One Convenience Stores Limited,Lorraine Shaw,2008/06/02 00:00:00+00,,Monday to,Premises ,,22,259102,667773,906700095905,,170 Saracen Street Glasgow G22 5EP ,,Ruchill / Possilpark,38,16,Canal,S02001924
267110,665130,19,Off,GC0059,One O One Convenience Store 38 Wardie Road Glasgow G33 4PD  ,One-O-One Convenience Stores Limited,Robyn Granger,2008/06/02 00:00:00+00,,Monday to,Premises ,,11,267110,665130,906700227135,,38 Wardie Road Glasgow G33 4PD ,,Springboig / Barlanark,41,20,Baillieston,S02001908
261410,665010,20,Off,GC0060,446 Duke Street Glasgow G31 1QL   ,One-O-One Convenience Stores Limited,Lyndsey Joanne Geddes,2008/06/03 00:00:00+00,,Monday to,Premises ,,31.68,261410,665010,906700155772,,446 Duke Street Glasgow G31 1QL ,,Calton / Bridgeton,28,09,Calton,S02001929
259273,662495,21,Off,GC0061,453 Aikenhead Road Glasgow G42 0PR   ,One-O-One Convenience Stores Limited,Nicola Kirkpatrick,2008/06/03 00:00:00+00,,Monday to,Premises ,,26,259273,662495,906700228315,,457 Aikenhead Road Glasgow G42 0PR ,,Toryglen,5,07,Langside,S02001866
252651,662926,22,Off,GC0063,60 Lyoncross Road Glasgow G53 5UW   ,One-O-One Convenience Stores Limited,Marie Madden,2008/06/03 00:00:00+00,,Monday to,Premises ,,19.8,252651,662926,906700297465,,60 Lyoncross Road Glasgow G53 5UW ,,Corkerhill / North Pollok,50,04,Cardonald,S02001849
259978,669318,23,Off,GC0064,ONE O ONE 65 Liddesdale Square Glasgow G22 7BT  ,One-O-One Convenience Stores Limited,Paul McLauchlan,2008/06/03 00:00:00+00,,Monday to,Premises ,,21.73,259978,669318,906700384037,,65 Liddesdale Square Glasgow G22 7BT ,,Lambhill / Milton,35,16,Canal,S02001944
256790,669782,24,Off,GC0077,Asda Store 20 Rothes Drive Glasgow G23 5PZ  ,Asda Stores Limited,Andrew Joseph Claase,2008/06/03 00:00:00+00,,Monday to,Premises ,,172,256790,669782,906700098293,,20 Rothes Drive Glasgow G23 5EZ ,,North Maryhill / Summerston,36,15,Maryhill,S02001946
263331,668593,25,Off,GC0078,Asda Store 1 Monument Drive Robroyston Glasgow G33 1AD ,Asda Stores Limited,Gavin Penman,2008/06/03 00:00:00+00,,Monday to,Premises ,,135.8,263331,668593,906700339001,,Asda 1 Monument Drive Glasgow G33 1AD ,,Robroyston / Millerston,25,17,Springburn/Robroyston,S02001918
261172,665009,26,Off,GC0089,Liquor City 360 Duke Street Glasgow G31 1RE  ,Sunil Marwaha,Jacqueline White,2008/06/03 00:00:00+00,,Monday to,Premises ,,24.2,261172,665009,906700154089,,360 Duke Street Glasgow G31 1RE ,,Calton / Bridgeton,28,09,Calton,S02001931
264476,665317,27,Off,GC0099,Sidhu Off Sales 985 Carntyne Road Glasgow G32 6LY  ,Sanan & Anmol Ltd,Satinder Jit,2008/06/03 00:00:00+00,,Monday to,Premises ,,21,264476,665317,906700351612,,985 Carntyne Road Glasgow G32 6LY ,,Springboig / Barlanark,41,18,East Centre,S02001914
258129,666939,28,Off,GC0113,Lidl Great Britain Limited 2 Hopehill Road Glasgow G20 7JN  ,Lidl Great Britain Limited,Stuart MacKenzie,2008/06/03 00:00:00+00,,Monday to,Premises ,,65.6,258129,666939,906700324133,,2 Hopehill Road Glasgow G20 7JN ,,Hillhead / Woodlands,30,11,Hillhead,S02001939
260481,666854,29,Off,GC0115,Lidl Great Britain Limited 2 Cobden Road Glasgow G21 1SE  ,Lidl Great Britain Limited,Margaret Munro,2008/06/03 00:00:00+00,,Monday to,Premises ,,60.9,260481,666854,906700353770,,2 Cobden Road Glasgow G21 1YL ,,Sighthill / Roystonhill / Germiston,23,22,Dennistoun,S02001924
252128,660276,30,On & Off,GC0117,The 1478 Social Club 11 Dove Street Glasgow G53 7BS  ,The 1478 Social Club,,2008/06/09 00:00:00+00,,On Sales ,Premises ,120,0,252128,660276,906700382011,,11 Dove Street Glasgow G53 7BS ,,Priesthill / Househillwood,45,03,Greater Pollok,S02001845
258379,664538,31,On & Off,GC0119,Lord Nelson 123 Nelson Street Glasgow G5 8DZ  ,Westkirk Limited,George Watt,2008/06/09 00:00:00+00,,On Sales ,Premises ,42,3.4,258379,664538,906700193850,,123 Nelson Street Tradeston Glasgow G5 8DZ ,,Ibrox / Kingston,2,05,Govan,S02001890
255299,666674,32,On & Off,GC0120,Ardery Street Masonic Halls Club 9 Ardery Street Partick Glasgow G11 7SX ,Ardery Street Masonic Halls Club,,2008/06/09 00:00:00+00,,On Sales ,Premises ,120,6.5,255299,666674,906700004945,,9 Ardery Street Glasgow G11 7SX ,,Broomhill / Partick West,33,12,Victoria Park,S02001954
258179,661568,33,On & Off,GC0121,Armstrongs 136 Battlefield Road Battlefield Glasgow G42 9JT ,Greene King Retailing Ltd,Jacqueline Waddell,2008/06/09 00:00:00+00,,On Sales ,Premises ,342,12,258179,661568,906700237460,,136 Battlefield Road Glasgow G42 9JT ,,Langside / Battlefield,7,07,Langside,S02001867
258660,665699,34,On & Off,GC0122,Grilled by Ajay Kumar 142 West Regent Street Glasgow G2 2RQ  ,Kailash Ltd,Jaspreet Kaur Kumar,2008/06/09 00:00:00+00,,On Sales ,Premises ,144,6.8,258660,665699,906700120494,,142 West Regent Street Glasgow G2 2RQ ,,City Centre / Merchant City,29,10,Anderston/City/Yorkhill,S02001934
258025,666276,35,On & Off,GC0123,Camerons 129 St Georges Road Glasgow G3 6JA  ,Hawthorn Leisure Scotco Limited,David Dennett ,2008/06/09 00:00:00+00,,On Sales ,Premises ,128,9.4,258025,666276,906700103152,,129 St Georges Road Glasgow G3 6JA ,,Hillhead / Woodlands,30,11,Hillhead,S02001937
257162,665878,36,On & Off,GC0126,Grove 8 Kelvingrove Street Glasgow G3 7RX  ,Greene King Retailing Ltd,Donna Marie Downey,2008/06/09 00:00:00+00,,On Sales ,Premises ,60,10,257162,665878,906700064579,,8 Kelvingrove Street Glasgow G3 7RX ,,Yorkhill / Anderston,31,10,Anderston/City/Yorkhill,S02001935
259399,661554,37,On & Off,GC0127,Montford House Montford House 23-27 Curtis Avenue Kings Park Glasgow G44 4QD,RB Property (Scotland) Ltd,,2008/06/09 00:00:00+00,,On Sales ,Premises ,679,19,259399,661554,906700248219,,The Montford Bar 23 Curtis Avenue Glasgow G44 4QD ,,King's Park / Mount Florida,8,07,Langside,S02001885
259789,663794,38,On & Off,GC0128,Pig & Whistle 68 McNeil Street Glasgow G5 0NH  ,Hawthorn Leisure Scotco Limited,Caroline Taylor,2008/06/09 00:00:00+00,,On Sales ,Premises ,180,24,259789,663794,906700363815,,68 Mcneil Street Glasgow G5 0NH ,,Greater Gorbals,3,08,Southside Central,S02001889
256791,661498,39,On & Off,GC0129,Quaich 52 Coustonholm Road Glasgow G43 1UF  ,Greene King Brewing & Retailing Limi,David Patrick Gray,2008/06/09 00:00:00+00,,On Sales ,Premises ,120,20,256791,661498,906700249122,,52 Coustonholm Road Glasgow G43 1UF ,,Shawlands / Strathbungo,6,06,Pollokshields,S02001873
258669,665027,40,On & Off,GC0130,Oswalds 42 Oswald Street Glasgow G1 4PL  ,Hawthorn Leisure Scotco Limited,Ashley Elizabeth Robertson,2008/06/09 00:00:00+00,,On Sales ,Premises ,130,16.4,258669,665027,906700362608,,42 Oswald Street Glasgow G1 4PL ,,City Centre / Merchant City,29,10,Anderston/City/Yorkhill,S02001934
258105,666790,41,On & Off,GC0131,Royalty Bar 144 Maryhill Road Glasgow G20 7QS  ,Hawthorn Leisure Scotco Limited,Robert Somerville,2008/06/09 00:00:00+00,,On Sales ,Premises ,135,18,258105,666790,906700080804,,144 Maryhill Road Glasgow G20 7QS ,,Hillhead / Woodlands,30,11,Hillhead,S02001938
257790.07,666365.27,42,On & Off,GC0135,The Arlington Bar 130 Woodlands Road Glasgow G3 6HB  ,Sky Blue Scotland Limited,Josef Angel Wilson,2008/06/09 00:00:00+00,,On Sales ,Premises ,60,4.2,257790.07,666365.27,906700120753,,130 Woodlands Road Glasgow G3 6HB ,,Hillhead / Woodlands,30,11,Hillhead,S02001937
257091,665879,43,On & Off,GC0137,Ben Nevis 1147 Argyle Street Glasgow G3 8TB  ,Fengrow Limited,Kenneth Stott,2008/06/09 00:00:00+00,,On Sales ,Premises ,105,4.2,257091,665879,906700384788,,1147 Argyle Street Glasgow G3 8TB ,,Yorkhill / Anderston,31,10,Anderston/City/Yorkhill,S02001936
257622.59,666583.74,44,On,GC0138,Dram 246 Woodlands Road Glasgow G3 6ND  ,Jacca Leisure Limited,Jacqueline Elaine Keith,2008/06/09 00:00:00+00,,Monday to,Premises ,310,23.4,257622.59,666583.74,906700122420,,246 Woodlands Road Glasgow G3 6ND ,,Hillhead / Woodlands,30,11,Hillhead,S02001937
257671,666916,45,On & Off,GC0141,The Lansdowne Bar 7A Lansdowne Crescent Glasgow G20 6NQ  ,Lansdowne Restaurant Limited,Amit Kumar Sharma,2008/06/09 00:00:00+00,,On Sales ,Premises ,218,31,257671,666916,906700079506,,7A Lansdowne Crescent Glasgow G20 6NQ ,,Hillhead / Woodlands,30,11,Hillhead,S02001939
257876,668388,46,Off,GC0145,295 Bilsland Drive Glasgow G20 9RF   ,Mayfield Licensed Grocers,Parvesh Kumar Marwaha,2008/06/09 00:00:00+00,,Monday to,Premises ,,13.2,257876,668388,906700014189,,295 Bilsland Drive Glasgow G20 9RF ,,Ruchill / Possilpark,38,16,Canal,S02001941
258677,666048,47,On & Off,GC0148,Jacksons 95 Cambridge Street Glasgow G3 6RU  ,Rosemount Bars Limited,Lee-Ann Kennedy,2008/06/09 00:00:00+00,,On Sales ,Premises ,195,17.9,258677,666048,906700021558,,95 Cambridge Street Glasgow G3 6RU ,,City Centre / Merchant City,29,10,Anderston/City/Yorkhill,S02001933
259234,665197,48,On & Off,GC0149,Thundercat Pub and Diner 86 Miller Street Glasgow G1 1DT  ,Stolly's Bar and Restaurant Limited,Ashley O'Brien,2008/06/09 00:00:00+00,,On Sales ,Premises ,150,14.4,259234,665197,906700085489,,86 Miller Street City Centre Glasgow G1 1DT ,,City Centre / Merchant City,29,10,Anderston/City/Yorkhill,S02001932
259150,664028,49,Off,GC0151,Co-Op 190 Crown Street Glasgow G5 9ZR  ,Co-operative Group Food Limited,Francis Gerard Grant,2008/06/09 00:00:00+00,,Monday to,Premises ,,61.615,259150,664028,906700248145,,190 Crown Street Gorbals Glasgow G5 9ZR ,,Greater Gorbals,3,08,Southside Central,S02001890
257938,662726,50,On & Off,GC0152,Allison Arms 722 Pollokshaws Road Glasgow G41 2AD  ,Suburban Taverns Limited,Ryan Murray,2008/06/09 00:00:00+00,,On Sales ,Premises ,162,10,257938,662726,906700289309,,722 Pollokshaws Road Glasgow G41 2AD ,,Shawlands / Strathbungo,6,06,Pollokshields,S02001868
258361,662673,51,On & Off,GC0153,Ryan's Bar 165 Allison Street Glasgow G42 8RX  ,Suburban Taverns Limited,Laurene Craig,2008/06/09 00:00:00+00,,On Sales ,Premises ,60,7,258361,662673,906700237784,,165 Allison Street Glasgow G42 8RX ,,Govanhill,4,08,Southside Central,S02001865
254805,665307,52,On & Off,GC0155,Tall Cranes 10/12 Craigton Road Glasgow G51 3TB  ,The Wee Cranes Ltd,Rose Hood,2008/06/09 00:00:00+00,,On Sales ,Premises ,214,17,254805,665307,906700159812,,12 Craigton Road Glasgow G51 3TB ,,Greater Govan,1,05,Govan,S02001856
263867,665892,53,Off,GC0156,One O One 4 Ruchazie Place Glasgow G33 3HA  ,One-O-One Convenience Stores Limited,KerryAnne Baxter,2008/06/09 00:00:00+00,,Monday to,Premises ,,28.9,263867,665892,906700207499,,4 Ruchazie Place Glasgow G33 3HA ,,Riddrie / Cranhill,11,18,East Centre,S02001914
258891,665170,54,On & Off,GC0157,Tingle Bar 33 Mitchell Street Glasgow G1 3LN  ,Big Short Limited,William Stephen Robert Pro,2008/06/09 00:00:00+00,,On Sales ,Premises ,163,4.6,258891,665170,906700087221,,33 Mitchell Street Glasgow G1 3LN ,,City Centre / Merchant City,29,10,Anderston/City/Yorkhill,S02001934
256354,667092,55,On,GC0158,Willow Bank Bowling Club 36 Dowanside Road Glasgow G12 9DW  ,Willow Bank Bowling Club,,2008/06/09 00:00:00+00,,Monday to,Premises ,75,,256354,667092,906700032299,,36 Dowanside Road Glasgow G12 9DW ,,Hyndland / Dowanhill / Partick East,32,23,Partick East/Kelvindale,S02001952
257698,665753,56,On & Off,GC0160,Orwells 70 Elderslie Street Glasgow G3 7AL  ,IP Partnership Limited,Nicola Young,2008/06/09 00:00:00+00,,On Sales ,Premises ,60,10.3,257698,665753,906700051607,,70 Elderslie Street Glasgow G3 7AL ,,Yorkhill / Anderston,31,10,Anderston/City/Yorkhill,S02001935
256880,664516,57,On & Off,GC0165,Grapes Bar 218 Paisley Road West Glasgow G51 1BU  ,Om Par Limited,Sharon McKee,2008/06/09 00:00:00+00,,On Sales ,Premises ,60,3.7,256880,664516,906700389778,,218 Paisley Road West Glasgow G51 1BU ,,Ibrox / Kingston,2,05,Govan,S02001861
255133,665828,58,On & Off,GC0166,Harmony Bar 881 Govan Road Glasgow G51 3DN  ,FB Rattler Limited,Mandie Elizabeth Donaldson,2008/06/09 00:00:00+00,,On Sales ,Premises ,156,3.02,255133,665828,906700170881,,881 Govan Road Glasgow G51 3DN ,,Greater Govan,1,05,Govan,S02001856
260932,665009,59,On & Off,GC0168,Redmond's 304 Duke Street Glasgow G31 1RZ  ,IP Partnership Limited,David Kirkwood,2008/06/09 00:00:00+00,,On Sales ,Premises ,75,4.1,260932,665009,906700153169,,304 Duke Street Glasgow G31 1RZ ,,Calton / Bridgeton,28,09,Calton,S02001931
259355,665153,60,On,GC0013,The Steps Bar 62 Glassford Street Glasgow G1 1UP  ,Kevin Henderson,Lisa Marie Devlin,2008/06/10 00:00:00+00,,Monday to,Premises ,60,,259355,665153,906700042676,,62 Glassford Street Glasgow G1 1UP ,,City Centre / Merchant City,29,10,Anderston/City/Yorkhill,S02001932
257840,665870,61,On,GC0022,The Mitchell Complex 201 North Street Glasgow G3 7DN  ,Glasgow City Council,Lyndsey Dodwell,2008/06/10 00:00:00+00,,Monday to,Premises ,1010,,257840,665870,906700046861,,Mitchell Theatre 10 Granville Street Glasgow G3 7DR ,,Yorkhill / Anderston,31,10,Anderston/City/Yorkhill,S02001935
256004,666615,62,Off,GC0051,9 Hyndland Street Glasgow G11 5QE   ,J & D Matharu,Jaspreet Singh Matharu,2008/06/10 00:00:00+00,,Monday to,Premises ,,22.3,256004,666615,906700057294,,9 Hyndland Street Glasgow G11 5QE ,,Hyndland / Dowanhill / Partick East,32,23,Partick East/Kelvindale,S02001953
259214,667902,63,On & Off,GC0053,Possilpark Masonic Social Club 83//85 Bardowie Street Glasgow G22 5ET  ,Possilpark Masonic Social Club,,2008/06/10 00:00:00+00,,On Sales ,Premises ,150,5.13,259214,667902,906700009473,,83 Bardowie Street Glasgow G22 5ET ,,Ruchill / Possilpark,38,16,Canal,S02001924
254976,667201,64,Off,GC0069,Sanjay's Newsagents 252 Crow Road Glasgow G11 7LA  ,Partnership of Meenakshi & Sanjay Ma,Meenakshi Marwaha,2008/06/10 00:00:00+00,,Monday to,Premises ,,8.9,254976,667201,906700352909,,252 Crow Road Glasgow G11 7LA ,,Broomhill / Partick West,33,12,Victoria Park,S02001959
256168,666540,65,On,GC0144,Dolphin Bar 157 Dumbarton Road Glasgow G11 6PT  ,Suburban Taverns Limited,Hugh James Hattie,2008/06/10 00:00:00+00,,Monday to,Premises ,60,,256168,666540,906700038477,,157 Dumbarton Road Glasgow G11 6PT ,,Hyndland / Dowanhill / Partick East,32,23,Partick East/Kelvindale,S02001953
252554,668371,66,Off,GC0150,Tesco Store 728 Annieland Road Glasgow G14 0YU  ,PTLL Limited,Brian Hawkes,2008/06/10 00:00:00+00,,Monday to,Premises ,,86.12,252554,668371,906700003297,,728 Anniesland Road Glasgow G14 0YU ,,Yoker / Scotstoun,15,13,Garscadden/Scotstounhill,S02001963
259716,664839,67,On & Off,GC0171,McKinnons Bar 48-50 Gallowgate Glasgow G1 5AB  ,LSS Licence Holding Limited,Denise Ross,2008/06/10 00:00:00+00,,On Sales ,Premises ,133,9.7,259716,664839,906700166112,,48 Gallowgate Glasgow G1 5AB ,,Calton / Bridgeton,28,09,Calton,S02001891
258250,662544,68,Off,GC0172,Crosshill Off Sale 471 Victoria Road Glasgow G42 8RL  ,Mohammed Said,Zahed Javed,2008/06/10 00:00:00+00,,Monday to,Premises ,,25.4,258250,662544,906700311108,,471 Victoria Road Glasgow G42 8RL ,,Govanhill,4,08,Southside Central,S02001868
258210,666583,69,Off,GC0173,Shop Smart 295 St Georges Road Glasgow G3 6JQ  ,Zeeshan Mumtaz,Mandeep Saini,2008/06/10 00:00:00+00,,Monday to,Premises ,,9.4,258210,666583,906700097007,,295 St Georges Road Glasgow G3 6JQ ,,Hillhead / Woodlands,30,11,Hillhead,S02001938
264718,665800,70,Off,GC0175,Scotfresh 10/16 Lamlash Crescent Cranhill Glasgow G33 3LQ ,CJ Lang & Son Limited,Matthew Gilmour,2008/06/10 00:00:00+00,,Monday to,Premises ,,19.2,264718,665800,906700183461,,14 Lamlash Crescent Glasgow G33 3LQ ,,Riddrie / Cranhill,11,18,East Centre,S02001914
265188,664051,71,Off,GC0176,Day/Today DT 1585 Shettleston Road Glasgow G32 9AS  ,Robert Young,Robert Young,2008/06/10 00:00:00+00,,Monday to,Premises ,,17.8,265188,664051,906700210321,,1585 Shettleston Road Glasgow G32 9AS ,,Mount Vernon / East Shettleston,55,19,Shettleston,S02001910
259415,667152,72,On & Off,GC0178,The Pinkston Bar 480 Keppochhill Road Glasgow G21 1JE  ,Raymond McGuire,Raymond McGuire,2008/06/10 00:00:00+00,,On Sales ,Premises ,80,6.45,259415,667152,906700070466,,482 Keppochhill Road Glasgow G21 1JE ,,Ruchill / Possilpark,38,16,Canal,S02001924
258281,665906,73,On & Off,GC0186,State Bar 148 Holland Street Glasgow G2 4NG  ,Caledonian Heritable Limited,Agnes Lyons,2008/06/10 00:00:00+00,,On Sales ,Premises ,324,15.3,258281,665906,906700055478,,Public House 148A Holland Street Glasgow G2 4NG ,,City Centre / Merchant City,29,10,Anderston/City/Yorkhill,S02001933
267502,665898,74,On,GC0190,The Bridge Cafe The Bridge 1000 Westerhouse Road Glasgow G34 9JW ,GEAC Trading Limited,Mary Higgins,2008/06/10 00:00:00+00,,Monday to,Premises ,120,,267502,665898,906700409672,,The Bridge 1000 Westerhouse Road Glasgow G34 9JW ,,Easterhouse,16,21,North East,S02001906
252808,671739,75,Off,GC0191,114 Summerhill Road Glasgow G15 7JY   ,Hadies Ahmed,Sabir Ali Ahmed,2008/06/10 00:00:00+00,,Monday to,Premises ,,17.7,252808,671739,906700104140,,114 Summerhill Road Glasgow G15 7JY ,,Drumchapel,40,14,Drumchapel/Anniesland,S02001975
257166,668388,76,On,GC0192,Framptons 1236 Maryhill Road Glasgow G20 9BJ  ,One E11even Limited,Rosemary Breslin,2008/06/10 00:00:00+00,,Monday to,Premises ,426,,257166,668388,906700432220,,Flat 1/1 5 Ruchill Street Glasgow G20 9RJ ,,Maryhill Road Corridor,39,15,Maryhill,S02001941
251052,668878,77,On & Off,GC0193,Station Bar 2493/2499 Dumbarton Road Glasgow G14 0PR  ,James Watson Baker,James Watson Baker,2008/06/10 00:00:00+00,,On Sales ,Premises ,102,9.8,251052,668878,906700035046,,2493 Dumbarton Road Glasgow G14 0PR ,,Yoker / Scotstoun,15,13,Garscadden/Scotstounhill,S02001964
259557,665071,78,On & Off,GC0194,"Sano at the Square Unit C/D, 5 Bell street Glasgow G1 1NW  ",CDLH Surveyors Limited,Shona Louise Garrett,2008/06/10 00:00:00+00,,On Sales ,Premises ,229,6,259557,665071,906700358412,,5 Bell Street Glasgow G1 1NU ,,City Centre / Merchant City,29,10,Anderston/City/Yorkhill,S02001932
259360,665174,79,On & Off,GC0195,Blane Valley 76 Glassford Street Glasgow G1 1UP  ,Blane Valley Ltd,Jonathan Patrick Doyle,2008/06/10 00:00:00+00,,On Sales ,Premises ,120,4.4,259360,665174,906700043341,,76 Glassford Street Glasgow G1 1UP ,,City Centre / Merchant City,29,10,Anderston/City/Yorkhill,S02001932
259578,665063,80,On,GC0197,The Tap Yard 17 Bell Street Glasgow G1 1NU  ,CDLH Surveyors Limited,Matthew Rogers,2008/06/10 00:00:00+00,,Monday to,Premises ,178,25.26,259578,665063,906700358413,,17 Bell Street Glasgow G1 1NU ,,City Centre / Merchant City,29,10,Anderston/City/Yorkhill,S02001932
252045,663860,81,Off,GC0198,Pizza Mario 4 Crookston Road Glasgow G52 3QG  ,Firm of Pizza Mario,Rajbir Singh,2008/06/10 00:00:00+00,,Monday to,Premises ,,0.4,252045,663860,906700372686,,4 Crookston Road Glasgow G52 3QG ,,Crookston /South Cardonald,51,04,Cardonald,S02001852
254862,667356,82,Off,GC0199,300 Crow Road Glasgow G11 7HS   ,Mazhar Asghar,Yasmeen Asghar,2008/06/10 00:00:00+00,,Monday to,Premises ,,7.75,254862,667356,906700031976,,300 Crow Road Glasgow G11 7HS ,,Broomhill / Partick West,33,12,Victoria Park,S02001959
251435,668610,83,Off,GC0200,Money Savers 2314 Dumbarton Road Glasgow G14 0JS  ,Yasmeen Asghar,Mazhar Asghar,2008/06/10 00:00:00+00,,Monday to,Premises ,,7.2,251435,668610,906700038711,,2314 Dumbarton Road Glasgow G14 0JS ,,Yoker / Scotstoun,15,13,Garscadden/Scotstounhill,S02001964
